ticker,adsh,total_debt_status,lb,ub,cash_present,ocf_present,flags
IR,0001628280-26-008617,PARTIAL,2.60817289960906,5.08549089031497,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
DGX,0001022079-26-000015,PARTIAL,2.78419936373277,4.57847295864263,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_MISSING_WITH_DEBT;INTEREST_NET_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
CPAY,0001175454-26-000018,PARTIAL,-0.3900904126339,13.4116678367439,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
CINF,0000020286-26-000008,PARTIAL,-0.183161953727506,8.06266066838046,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;INSURER_OCF_INCLUDES_FLOAT;LEVERAGE_THRESHOLD_INDETERMINATE;STI_NOT_NETTED
XYL,0001524472-26-000012,PARTIAL,-0.0572119258662369,3.55036261079774,True,True,BS_CLOSURE_FAILED;CUSTOM_TAG_DEBT_BY_LABEL;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
HSY,0001628280-26-008586,PARTIAL,1.86999372520986,3.9978391712886,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
PPG,0000079879-26-000046,PARTIAL,2.65069551777434,6.09891808346213,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
Q,0002058873-26-000010,PARTIAL,2.4446190102121,4.54752553024352,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
TPR,0001116132-25-000019,PARTIAL,1.06411310208779,3.79968765411803,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
OMC,0000029989-26-000006,PARTIAL,0.760805935606834,14.4202232659451,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
HUBB,0001628280-26-007500,PARTIAL,1.78957079044475,3.77587881141969,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_MISSING_WITH_DEBT;INTEREST_NET_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
CHD,0001193125-26-048139,PARTIAL,1.47778509132796,3.703472107948,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
FFIV,0001048695-25-000157,MISSING,-1.41552187821824,,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE
PFG,0001104659-26-017031,PARTIAL,-0.105142504463597,71.5397094804594,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INSURER_OCF_INCLUDES_FLOAT;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE
BR,0001628280-25-037656,PARTIAL,2.29727653035089,4.54913344147528,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_CASH_BASIS;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
PKG,0001193125-26-074129,PARTIAL,2.21219903691814,3.59454253611557,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INTEREST_MISSING_WITH_DEBT;INTEREST_NET_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
CF,0001324404-26-000007,PARTIAL,0.448037790697674,3.36119186046512,False,True,BS_CLOSURE_FAILED;CASH_MISSING;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
WRB,0000011544-26-000005,PARTIAL,-0.198385760572721,8.88156559340996,True,True,BS_CLOSURE_FAILED;CUSTOM_TAG_DEBT_BY_LABEL;FSDS_FACE_ONLY;INSURER_OCF_INCLUDES_FLOAT;LEVERAGE_THRESHOLD_INDETERMINATE
LUV,0000092380-26-000004,PARTIAL,0.906623235613464,9.6900108577633,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
TSCO,0000916365-26-000014,PARTIAL,0.982726895250232,4.98898156194218,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
L,0000060086-26-000008,PARTIAL,2.74290942360476,20.1927416895395,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;INSURER_OCF_INCLUDES_FLOAT;LEVERAGE_THRESHOLD_INDETERMINATE;STI_NOT_NETTED
PTC,0001193125-25-291326,PARTIAL,1.16748146816397,3.00396452213679,True,True,BS_CLOSURE_FAILED;FSDS_FACE_ONLY;LEVERAGE_THRESHOLD_INDETERMINATE;ROIC_DEBT_PARTIAL
