ticker,ticker_sec,name,sector,weight,cik,sic,annual_form,annual_period,annual_filed,annual_adsh,latest_10q_period,latest_10q_filed,sec_quarters_used,annual_revenue,annual_revenue_tag,annual_revenue_date,prior_revenue,prior_revenue_date,annual_net_income,annual_net_income_tag,annual_net_income_date,prior_net_income,prior_net_income_date,annual_operating_income,annual_operating_income_tag,annual_operating_income_date,prior_operating_income,prior_operating_income_date,annual_operating_cash_flow,annual_operating_cash_flow_tag,annual_operating_cash_flow_date,prior_operating_cash_flow,prior_operating_cash_flow_date,annual_capex,annual_capex_tag,annual_capex_date,prior_capex,prior_capex_date,annual_diluted_shares,annual_diluted_shares_tag,annual_diluted_shares_date,prior_diluted_shares,prior_diluted_shares_date,annual_assets,annual_assets_tag,annual_assets_date,annual_equity,annual_equity_tag,annual_equity_date,annual_cash,annual_cash_tag,annual_cash_date,annual_debt,annual_debt_tag,annual_debt_date,annual_fcf,revenue_yoy,net_income_yoy,diluted_shares_yoy,operating_margin,net_margin,fcf_margin,roe_simple,debt_to_equity,core_metric_coverage_pct,extended_metric_coverage_pct,data_quality_flags,data_status,fy_minus_1_period,fy_minus_1_filed,fy_minus_1_adsh,fy_minus_1_revenue,fy_minus_1_revenue_tag,fy_minus_1_revenue_date,fy_minus_1_operating_income,fy_minus_1_operating_income_tag,fy_minus_1_operating_income_date,fy_minus_1_net_income,fy_minus_1_net_income_tag,fy_minus_1_net_income_date,fy_minus_1_operating_cash_flow,fy_minus_1_operating_cash_flow_tag,fy_minus_1_operating_cash_flow_date,fy_minus_1_capex,fy_minus_1_capex_tag,fy_minus_1_capex_date,fy_minus_1_diluted_shares,fy_minus_1_diluted_shares_tag,fy_minus_1_diluted_shares_date,fy_minus_1_equity,fy_minus_1_equity_tag,fy_minus_1_equity_date,fy_minus_2_period,fy_minus_2_filed,fy_minus_2_adsh,fy_minus_2_revenue,fy_minus_2_revenue_tag,fy_minus_2_revenue_date,fy_minus_2_operating_income,fy_minus_2_operating_income_tag,fy_minus_2_operating_income_date,fy_minus_2_net_income,fy_minus_2_net_income_tag,fy_minus_2_net_income_date,fy_minus_2_operating_cash_flow,fy_minus_2_operating_cash_flow_tag,fy_minus_2_operating_cash_flow_date,fy_minus_2_capex,fy_minus_2_capex_tag,fy_minus_2_capex_date,fy_minus_2_diluted_shares,fy_minus_2_diluted_shares_tag,fy_minus_2_diluted_shares_date,fy_minus_2_equity,fy_minus_2_equity_tag,fy_minus_2_equity_date,fy_minus_3_period,fy_minus_3_filed,fy_minus_3_adsh,fy_minus_3_revenue,fy_minus_3_revenue_tag,fy_minus_3_revenue_date,fy_minus_3_operating_income,fy_minus_3_operating_income_tag,fy_minus_3_operating_income_date,fy_minus_3_net_income,fy_minus_3_net_income_tag,fy_minus_3_net_income_date,fy_minus_3_operating_cash_flow,fy_minus_3_operating_cash_flow_tag,fy_minus_3_operating_cash_flow_date,fy_minus_3_capex,fy_minus_3_capex_tag,fy_minus_3_capex_date,fy_minus_3_diluted_shares,fy_minus_3_diluted_shares_tag,fy_minus_3_diluted_shares_date,fy_minus_3_equity,fy_minus_3_equity_tag,fy_minus_3_equity_date,annual_sbc,annual_sbc_tag,annual_sbc_date,prior_sbc,prior_sbc_tag,prior_sbc_date,sbc_to_revenue,revenue_cagr3,opinc_cagr3,fcf_cagr3,fcf_per_share_cagr3,annual_operating_margin_history,fy_minus_1_operating_margin_history,fy_minus_2_operating_margin_history,fy_minus_3_operating_margin_history,operating_margin_std_4y,operating_margin_range_4y,market_price,market_cap,market_data_as_of,market_data_retrieved_at_utc,market_data_source,market_data_source_symbol,market_data_as_of_status,market_data_status
VRSK,VRSK,VERISK ANALYTICS INC,-,0.038377,1442145.0,7374.0,10-K,20251231.0,20260218.0,0001437749-26-004452,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,3072700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,2881700000.0,20241231.0,908300000.0,NetIncomeLoss,20251231.0,958200000.0,20241231.0,1343900000.0,OperatingIncomeLoss,20251231.0,1253900000.0,20241231.0,1436000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1144000000.0,20241231.0,244100000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,223900000.0,20241231.0,140082773.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,142842261.0,20241231.0,6195500000.0,Assets,20251231.0,309000000.0,StockholdersEquity,20251231.0,2178200000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,3228300000.0,LongTermDebtAndCapitalLeaseObligations,20251231,1191900000.0,0.0662803206440643,-0.0520768106867042,-0.0193184284586478,0.4373677872880528,0.2956032154131545,0.387899892602597,2.9394822006472494,10.44757281553398,100.0,100.0,OK,PRESENT,20241231.0,20250226.0,0001437749-25-005160,2881700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20241231.0,1253900000.0,OperatingIncomeLoss,20241231.0,958200000.0,NetIncomeLoss,20241231.0,1144000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,223900000.0,PaymentsToAcquirePropertyPlantAndEquipment,20241231.0,142842261.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,100100000.0,StockholdersEquity,20241231.0,20231231.0,20240221.0,0001437749-24-004939,2681400000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20231231.0,1131700000.0,OperatingIncomeLoss,20231231.0,614600000.0,NetIncomeLoss,20231231.0,1060700000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,230000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20231231.0,147336159.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,310000000.0,StockholdersEquity,20231231.0,20221231.0,20230228.0,0001437749-23-004945,2497000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20221231.0,1406500000.0,OperatingIncomeLoss,20221231.0,953900000.0,NetIncomeLoss,20221231.0,1059000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,274700000.0,PaymentsToAcquirePropertyPlantAndEquipment,20221231.0,158928942.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,1749300000.0,StockholdersEquity,20221231.0,54200000.0,ShareBasedCompensation,20251231.0,47900000.0,ShareBasedCompensation,20241231.0,0.0176392098154717,0.0716028813751701,-0.0150615937183223,0.1497035391412786,0.1991088886076826,0.4373677872880528,0.4351250997674983,0.4220556425747743,0.5632759311173408,0.0573525110002745,0.1412202885425664,190.6,24807735887.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,VRSK,RETRIEVAL_TIME_ONLY,PRESENT
RF,RF,REGIONS FINANCIAL CORP,-,0.038155,1281761.0,6021.0,10-K,20251231.0,20260224.0,0001281761-26-000019,20260331.0,20260507.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,2156000000.0,NetIncomeLoss,20251231.0,1893000000.0,20241231.0,,,,,,2181000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1598000000.0,20241231.0,,,,,,896000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,918000000.0,20241231.0,158814000000.0,Assets,20251231.0,19043000000.0,StockholdersEquity,20251231.0,10907000000.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20251231.0,4134000000.0,LongTermDebt,20251231,,,0.1389329107237189,-0.0239651416122004,,,,0.1132174552328939,0.2170876437536102,83.3,75.0,MISSING_REVENUE,PARTIAL,20241231.0,20250221.0,0001281761-25-000010,,,,,,,1893000000.0,NetIncomeLoss,20241231.0,1598000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,,,,918000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,17879000000.0,StockholdersEquity,20241231.0,20231231.0,20240223.0,0001281761-24-000010,,,,,,,2074000000.0,NetIncomeLoss,20231231.0,2308000000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,,,,938000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,17429000000.0,StockholdersEquity,20231231.0,20221231.0,20230224.0,0001281761-23-000012,,,,,,,2245000000.0,NetIncomeLoss,20221231.0,3102000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,,,,942000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,15947000000.0,StockholdersEquity,20221231.0,,,,,,,,,,,,,,,,,,30.44,25932734163.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,RF,RETRIEVAL_TIME_ONLY,PRESENT
EL,EL,ESTEE LAUDER COMPANIES CL A,-,0.038117,1001250.0,2844.0,10-K,20250630.0,20250820.0,0001001250-25-000099,20260331.0,20260501.0,2025Q3;2025Q4;2026Q1;2026Q2,14326000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20250630.0,15608000000.0,20240630.0,-1133000000.0,ProfitLoss,20250630.0,409000000.0,20240630.0,-785000000.0,OperatingIncomeLoss,20250630.0,970000000.0,20240630.0,1272000000.0,NetCashProvidedByUsedInOperatingActivities,20250630.0,2360000000.0,20240630.0,602000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250630.0,919000000.0,20240630.0,360100000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250630.0,360800000.0,20240630.0,19892000000.0,Assets,20250630.0,3865000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,20250630.0,2921000000.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20250630.0,7314000000.0,LongTermDebtAndCapitalLeaseObligations,20250630,670000000.0,-0.0821373654536135,-3.770171149144254,-0.001940133037694,-0.0547954767555493,-0.0790869747312578,0.0467681139187491,-0.293143596377749,1.892367399741268,100.0,100.0,OK,PRESENT,20240630.0,20240819.0,0001001250-24-000116,15608000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20240630.0,970000000.0,OperatingIncomeLoss,20240630.0,409000000.0,ProfitLoss,20240630.0,2360000000.0,NetCashProvidedByUsedInOperatingActivities,20240630.0,919000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20240630.0,360800000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20240630.0,5314000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,20240630.0,20230630.0,20230818.0,0001001250-23-000112,15910000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20230630.0,1509000000.0,OperatingIncomeLoss,20230630.0,1010000000.0,ProfitLoss,20230630.0,1731000000.0,NetCashProvidedByUsedInOperatingActivities,20230630.0,1003000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20230630.0,360900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20230630.0,5585000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,20230630.0,20220630.0,20220824.0,0001001250-22-000122,17737000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20220630.0,3170000000.0,OperatingIncomeLoss,20220630.0,2408000000.0,ProfitLoss,20220630.0,3040000000.0,NetCashProvidedByUsedInOperatingActivities,20220630.0,1040000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20220630.0,364900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20220630.0,5590000000.0,StockholdersEquity,20220630.0,304000000.0,ShareBasedCompensation,20250630.0,325000000.0,ShareBasedCompensation,20240630.0,0.0212201591511936,-0.068717175083476,,-0.3054850441967458,-0.302412778800516,-0.0547954767555493,0.0621476166068682,0.0948460087994971,0.178722444607318,0.0837753740446243,0.2335179213628674,100.86,36491003468.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,EL,RETRIEVAL_TIME_ONLY,PRESENT
PPG,PPG,PPG INDUSTRIES INC,-,0.037789,79879.0,2851.0,10-K,20251231.0,20260219.0,0000079879-26-000046,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,15875000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,15845000000.0,20241231.0,1576000000.0,NetIncomeLoss,20251231.0,1116000000.0,20241231.0,,,,,,1941000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1420000000.0,20241231.0,778000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,721000000.0,20241231.0,,,,,,22098000000.0,Assets,20251231.0,7941000000.0,StockholdersEquity,20251231.0,2163000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,6602000000.0,LongTermDebtNoncurrent,20251231,1163000000.0,0.0018933417481854,0.4121863799283154,,,0.0992755905511811,0.073259842519685,0.1984636695630273,0.8313814381060319,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,20241231.0,20250220.0,0000079879-25-000034,15845000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20241231.0,,,,1116000000.0,NetIncomeLoss,20241231.0,1420000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,721000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20241231.0,,,,6785000000.0,StockholdersEquity,20241231.0,20231231.0,20240215.0,0000079879-24-000040,18246000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20231231.0,,,,1270000000.0,NetIncomeLoss,20231231.0,2411000000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,549000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20231231.0,,,,7832000000.0,StockholdersEquity,20231231.0,20221231.0,20230216.0,0000079879-23-000007,17652000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20221231.0,,,,1026000000.0,NetIncomeLoss,20221231.0,963000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,518000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20221231.0,,,,6592000000.0,StockholdersEquity,20221231.0,46000000.0,ShareBasedCompensation,20251231.0,42000000.0,ShareBasedCompensation,20241231.0,0.0028976377952755,-0.0347497152882644,,0.3774417257359228,,,,,,,,110.75,24619725000.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,PPG,RETRIEVAL_TIME_ONLY,PRESENT
Q,Q,QNITY ELECTRONICS INC,-,0.037764,2058873.0,3674.0,10-K,20251231.0,20260226.0,0002058873-26-000010,20260331.0,20260512.0,2025Q3;2025Q4;2026Q1;2026Q2,4754000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,4335000000.0,20241231.0,729000000.0,ProfitLoss,20251231.0,724000000.0,20241231.0,,,,,,1273000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1061000000.0,20241231.0,285000000.0,PaymentsToAcquireProductiveAssets,20251231.0,200000000.0,20241231.0,209800000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,209400000.0,20241231.0,14070000000.0,Assets,20251231.0,7095000000.0,StockholdersEquity,20251231.0,915000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,4003000000.0,LongTermDebtAndCapitalLeaseObligations,20251231,988000000.0,0.0966551326412918,0.0069060773480662,0.0019102196752627,,0.1533445519562473,0.207824989482541,0.1027484143763213,0.564200140944327,100.0,100.0,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,ShareBasedCompensation,20251231.0,,,,0.0042069835927639,,,,,,,,,,,118.47,24784936089.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,Q,RETRIEVAL_TIME_ONLY,PRESENT
TPR,TPR,TAPESTRY INC,-,0.03774,1116132.0,3100.0,10-K,20250630.0,20250814.0,0001116132-25-000019,20260331.0,20260507.0,2025Q3;2025Q4;2026Q1;2026Q2,7010700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20250630.0,6671200000.0,20240630.0,183200000.0,NetIncomeLoss,20250630.0,816000000.0,20240630.0,415000000.0,OperatingIncomeLoss,20250630.0,1140100000.0,20240630.0,1216600000.0,NetCashProvidedByUsedInOperatingActivities,20250630.0,1255600000.0,20240630.0,122700000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250630.0,108900000.0,20240630.0,222500000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250630.0,233200000.0,20240630.0,6580500000.0,Assets,20250630.0,857800000.0,StockholdersEquity,20250630.0,1100000000.0,CashAndCashEquivalentsAtCarryingValue,20250630.0,2377900000.0,LongTermDebt,20250630,1093900000.0,0.0508903945317185,-0.7754901960784314,-0.0458833619210977,0.059195230148202,0.0261314847304834,0.1560329211063089,0.213569596642574,2.772091396595944,100.0,100.0,OK,PRESENT,20240630.0,20240815.0,0001116132-24-000018,6671200000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20240630.0,1140100000.0,OperatingIncomeLoss,20240630.0,816000000.0,NetIncomeLoss,20240630.0,1255600000.0,NetCashProvidedByUsedInOperatingActivities,20240630.0,108900000.0,PaymentsToAcquirePropertyPlantAndEquipment,20240630.0,233200000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20240630.0,2896900000.0,StockholdersEquity,20240630.0,20230630.0,20230817.0,0001116132-23-000020,6660900000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20230630.0,1172400000.0,OperatingIncomeLoss,20230630.0,936000000.0,NetIncomeLoss,20230630.0,975200000.0,NetCashProvidedByUsedInOperatingActivities,20230630.0,184200000.0,PaymentsToAcquirePropertyPlantAndEquipment,20230630.0,241300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20230630.0,2277800000.0,StockholdersEquity,20230630.0,20220630.0,20220818.0,0001116132-22-000018,6684500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20220630.0,1175800000.0,OperatingIncomeLoss,20220630.0,856300000.0,NetIncomeLoss,20220630.0,853200000.0,NetCashProvidedByUsedInOperatingActivities,20220630.0,93900000.0,PaymentsToAcquirePropertyPlantAndEquipment,20220630.0,270100000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20220630.0,2285500000.0,StockholdersEquity,20220630.0,87300000.0,ShareBasedCompensation,20250630.0,85900000.0,ShareBasedCompensation,20240630.0,0.012452394197441,0.0160088366976911,-0.2932949192519481,0.1294180931844117,0.2048128672959066,0.059195230148202,0.1708987888235999,0.1760122505967662,0.1758994689206373,0.0498716776131045,0.1168170204485641,122.6,24445419723.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,TPR,RETRIEVAL_TIME_ONLY,PRESENT
OMC,OMC,OMNICOM GROUP,-,0.037704,29989.0,7311.0,10-K,20251231.0,20260220.0,0000029989-26-000006,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,17271900000.0,Revenues,20251231.0,15689100000.0,20241231.0,-54500000.0,NetIncomeLoss,20251231.0,1480600000.0,20241231.0,444700000.0,OperatingIncomeLoss,20251231.0,2274600000.0,20241231.0,2938200000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1733500000.0,20241231.0,149800000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,140600000.0,20241231.0,,,,,,54415300000.0,Assets,20251231.0,12045800000.0,StockholdersEquity,20251231.0,6881100000.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20251231.0,62000000.0,ShortTermBorrowings,20251231,2788400000.0,0.1008853280302886,-1.0368094015939484,,0.025747022620557,-0.0031554142856315,0.1614414164046804,-0.0045243985455511,0.0051470221986086,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,20241231.0,20250205.0,0000029989-25-000009,15689100000.0,Revenues,20241231.0,2274600000.0,OperatingIncomeLoss,20241231.0,1480600000.0,NetIncomeLoss,20241231.0,1733500000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,140600000.0,PaymentsToAcquirePropertyPlantAndEquipment,20241231.0,,,,4193500000.0,StockholdersEquity,20241231.0,20231231.0,20240207.0,0000029989-24-000007,14692200000.0,Revenues,20231231.0,2104700000.0,OperatingIncomeLoss,20231231.0,1391400000.0,NetIncomeLoss,20231231.0,1421900000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,78400000.0,PaymentsToAcquirePropertyPlantAndEquipment,20231231.0,,,,3616300000.0,StockholdersEquity,20231231.0,20221231.0,20230208.0,0000029989-23-000005,14289100000.0,Revenues,20221231.0,2083300000.0,OperatingIncomeLoss,20221231.0,1316500000.0,NetIncomeLoss,20221231.0,926500000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,78200000.0,PaymentsToAcquirePropertyPlantAndEquipment,20221231.0,,,,3252100000.0,StockholdersEquity,20221231.0,100800000.0,ShareBasedCompensation,20251231.0,91400000.0,ShareBasedCompensation,20241231.0,0.0058360689906727,0.0652341472208259,-0.4023616768599291,0.4868547194474533,,0.025747022620557,0.1449796355431478,0.1432528824818611,0.1457964462422405,0.0515060832392926,0.1200494236216835,84.73,23245333784.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,OMC,RETRIEVAL_TIME_ONLY,PRESENT
EXPD,EXPD,EXPEDITORS INTL WASH INC,-,0.037495,746515.0,4731.0,10-K,20251231.0,20260225.0,0001193125-26-071569,20260331.0,20260506.0,2025Q3;2025Q4;2026Q1;2026Q2,11069009000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,10600515000.0,20241231.0,810332000.0,NetIncomeLoss,20251231.0,810073000.0,20241231.0,1052546000.0,OperatingIncomeLoss,20251231.0,1041323000.0,20241231.0,1006501000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,723361000.0,20241231.0,53101000.0,PaymentsToAcquireProductiveAssets,20251231.0,40466000.0,20241231.0,136249000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,141722000.0,20241231.0,4893638000.0,Assets,20251231.0,2355633000.0,StockholdersEquity,20251231.0,1314285000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,,,,953400000.0,0.0441953999404745,0.0003197242717631,-0.0386178574956604,0.0950894520006262,0.0732072762792044,0.0861323719223645,0.3439975581934877,,100.0,87.5,OK,PRESENT,20241231.0,20250221.0,0000950170-25-024750,10600515000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20241231.0,1041323000.0,OperatingIncomeLoss,20241231.0,810073000.0,NetIncomeLoss,20241231.0,723361000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,40466000.0,PaymentsToAcquireProductiveAssets,20241231.0,141722000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,2223012000.0,StockholdersEquity,20241231.0,20231231.0,20240223.0,0000950170-24-019394,9300110000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20231231.0,939933000.0,OperatingIncomeLoss,20231231.0,752883000.0,NetIncomeLoss,20231231.0,1053191000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,39314000.0,PaymentsToAcquireProductiveAssets,20231231.0,150186000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,2390350000.0,StockholdersEquity,20231231.0,20221231.0,20230301.0,0000950170-23-005412,17071284000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20221231.0,1824371000.0,OperatingIncomeLoss,20221231.0,1357399000.0,NetIncomeLoss,20221231.0,2129675000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,86824000.0,PaymentsToAcquireProductiveAssets,20221231.0,164427000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,3110021000.0,StockholdersEquity,20221231.0,69231000.0,ShareBasedCompensation,20251231.0,64364000.0,ShareBasedCompensation,20241231.0,0.0062544894488747,-0.1344725398686201,-0.1675158472156616,-0.2243255519046999,-0.1741660072217318,0.0950894520006262,0.0982332462149244,0.1010668691015482,0.1068678255250161,0.0043343072838483,0.0117783735243899,187.13,24325145095.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,EXPD,RETRIEVAL_TIME_ONLY,PRESENT
SW,SW,SMURFIT WESTROCK PLC,-,0.037204,2005951.0,2650.0,10-K,20251231.0,20260227.0,0001628280-26-012555,20260331.0,20260501.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,21109000000.0,20241231.0,,,,319000000.0,20241231.0,,,,1007000000.0,20241231.0,,,,1483000000.0,20241231.0,,,,1466000000.0,20241231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,MISSING_REVENUE;MISSING_NET_INCOME;MISSING_ASSETS;MISSING_EQUITY;MISSING_OPERATING_CASH_FLOW;MISSING_DILUTED_SHARES,PARTIAL,20241231.0,20250307.0,0002005951-25-000005,21109000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20241231.0,1007000000.0,OperatingIncomeLoss,20241231.0,319000000.0,NetIncomeLoss,20241231.0,1483000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,1466000000.0,PaymentsToAcquireProductiveAssets,20241231.0,,,,17360000000.0,StockholdersEquity,20241231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206000000.0,ShareBasedCompensation,20241231.0,,,,,,,0.0477047704770477,,,,,45.26,23739906816.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,SW,RETRIEVAL_TIME_ONLY,PRESENT
DRI,DRI,DARDEN RESTAURANTS INC,-,0.037084,940944.0,5812.0,10-K,20250531.0,20250718.0,0000940944-25-000038,20260228.0,20260327.0,2025Q3;2025Q4;2026Q1;2026Q2,12076700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20250531.0,11390000000.0,20240531.0,1049600000.0,NetIncomeLoss,20250531.0,1027600000.0,20240531.0,1362300000.0,OperatingIncomeLoss,20250531.0,1314200000.0,20240531.0,,,,,,644600000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250531.0,601200000.0,20240531.0,118400000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250531.0,120800000.0,20240531.0,12587000000.0,Assets,20250531.0,2311300000.0,StockholdersEquity,20250531.0,240000000.0,CashAndCashEquivalentsAtCarryingValue,20250531.0,2128900000.0,LongTermDebt,20250531,,0.0602897278314311,0.0214091086025691,-0.0198675496688741,0.1128039944686876,0.086911159505494,,0.4541167308441137,0.9210833729935534,83.3,87.5,MISSING_OPERATING_CASH_FLOW,PARTIAL,20240531.0,20240719.0,0000940944-24-000035,11390000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20240531.0,1314200000.0,OperatingIncomeLoss,20240531.0,1027600000.0,NetIncomeLoss,20240531.0,,,,601200000.0,PaymentsToAcquirePropertyPlantAndEquipment,20240531.0,120800000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20240531.0,2242500000.0,StockholdersEquity,20240531.0,20230531.0,20230721.0,0000940944-23-000037,10487800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20230531.0,1201800000.0,OperatingIncomeLoss,20230531.0,981900000.0,NetIncomeLoss,20230531.0,,,,564900000.0,PaymentsToAcquirePropertyPlantAndEquipment,20230531.0,122900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20230531.0,2201500000.0,StockholdersEquity,20230531.0,20220531.0,20220722.0,0000940944-22-000042,9630000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20220531.0,1162200000.0,OperatingIncomeLoss,20220531.0,952800000.0,NetIncomeLoss,20220531.0,,,,376900000.0,PaymentsToAcquirePropertyPlantAndEquipment,20220531.0,129000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20220531.0,2198200000.0,StockholdersEquity,20220531.0,79100000.0,ShareBasedCompensation,20250531.0,68500000.0,ShareBasedCompensation,20240531.0,0.0065498025122757,0.0783853939045302,0.0543803295897471,,,0.1128039944686876,0.1153819139596137,0.1145902858559469,0.1206853582554517,0.0029352970992088,0.007881363786764,218.04,24873560361.0,,2026-09-03T21:18:54+00:00,NASDAQ_PUBLIC_SCREENER,DRI,RETRIEVAL_TIME_ONLY,PRESENT
