ticker,ticker_sec,name,sector,weight,cik,sic,annual_form,annual_period,annual_filed,annual_adsh,latest_10q_period,latest_10q_filed,sec_quarters_used,annual_revenue,annual_revenue_tag,annual_revenue_date,prior_revenue,prior_revenue_date,annual_net_income,annual_net_income_tag,annual_net_income_date,prior_net_income,prior_net_income_date,annual_operating_income,annual_operating_income_tag,annual_operating_income_date,prior_operating_income,prior_operating_income_date,annual_operating_cash_flow,annual_operating_cash_flow_tag,annual_operating_cash_flow_date,prior_operating_cash_flow,prior_operating_cash_flow_date,annual_capex,annual_capex_tag,annual_capex_date,prior_capex,prior_capex_date,annual_diluted_shares,annual_diluted_shares_tag,annual_diluted_shares_date,prior_diluted_shares,prior_diluted_shares_date,annual_assets,annual_assets_tag,annual_assets_date,annual_equity,annual_equity_tag,annual_equity_date,annual_cash,annual_cash_tag,annual_cash_date,annual_debt,annual_debt_tag,annual_debt_date,annual_fcf,revenue_yoy,net_income_yoy,diluted_shares_yoy,operating_margin,net_margin,fcf_margin,roe_simple,debt_to_equity,core_metric_coverage_pct,extended_metric_coverage_pct,data_quality_flags,data_status
QCOM,QCOM,QUALCOMM INC,-,0.27122,804328.0,3663.0,10-K,20250930.0,20251105.0,0000804328-25-000085,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,44284000000.0,Revenues,20250930.0,38962000000.0,20240930.0,5541000000.0,NetIncomeLoss,20250930.0,10142000000.0,20240930.0,12355000000.0,OperatingIncomeLoss,20250930.0,10071000000.0,20240930.0,14012000000.0,NetCashProvidedByUsedInOperatingActivities,20250930.0,12202000000.0,20240930.0,1192000000.0,PaymentsToAcquireProductiveAssets,20250930.0,1041000000.0,20240930.0,1105000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250930.0,1130000000.0,20240930.0,50143000000.0,Assets,20250930.0,21206000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,20250930.0,5520000000.0,CashAndCashEquivalentsAtCarryingValue,20250930.0,14811000000.0,LongTermDebt,20250930,12820000000.0,0.1365946306657768,-0.4536580556103332,-0.0221238938053097,0.2789946707614488,0.1251241983560654,0.2894950772287959,0.2612939734037536,0.6984344053569744,100.0,100.0,OK,PRESENT
SCHW,SCHW,SCHWAB (CHARLES) CORP,-,0.270999,316709.0,6211.0,10-K,20251231.0,20260225.0,0000316709-26-000009,20260331.0,20260508.0,2025Q3;2025Q4;2026Q1;2026Q2,23921000000.0,Revenues,20251231.0,19606000000.0,20241231.0,8852000000.0,NetIncomeLoss,20251231.0,5942000000.0,20241231.0,,,,,,9311000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,2670000000.0,20241231.0,548000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,620000000.0,20241231.0,1809000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,1834000000.0,20241231.0,490995000000.0,Assets,20251231.0,49425000000.0,StockholdersEquity,20251231.0,46030000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,22199000000.0,LongTermDebtAndCapitalLeaseObligations,20251231,8763000000.0,0.2200856880546771,0.4897340962638843,-0.0136314067611778,,0.3700514192550478,0.366330839011747,0.179099645928174,0.4491451694486595,100.0,100.0,OK,PRESENT
UNP,UNP,UNION PACIFIC CORP,-,0.269452,100885.0,4011.0,10-K,20251231.0,20260206.0,0000100885-26-000037,20260331.0,20260423.0,2025Q3;2025Q4;2026Q1;2026Q2,24510000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,24250000000.0,20241231.0,7138000000.0,NetIncomeLoss,20251231.0,6747000000.0,20241231.0,9846000000.0,OperatingIncomeLoss,20251231.0,9713000000.0,20241231.0,9290000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,9346000000.0,20241231.0,3791000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,3452000000.0,20241231.0,595900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,608600000.0,20241231.0,69698000000.0,Assets,20251231.0,18467000000.0,StockholdersEquity,20251231.0,1266000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,30294000000.0,LongTermDebtAndCapitalLeaseObligations,20251231,5499000000.0,0.0107216494845361,0.0579516822291388,-0.0208675649030561,0.4017135862913096,0.2912280701754386,0.2243574051407589,0.3865273190014621,1.640439703254454,100.0,100.0,OK,PRESENT
ADI,ADI,ANALOG DEVICES INC,-,0.266069,6281.0,3674.0,10-K,20251031.0,20251125.0,0000006281-25-000153,20260430.0,20260520.0,2025Q3;2025Q4;2026Q1;2026Q2,11019707000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251031.0,9427157000.0,20241031.0,2267342000.0,NetIncomeLoss,20251031.0,1635273000.0,20241031.0,2932496000.0,OperatingIncomeLoss,20251031.0,2032798000.0,20241031.0,4812202000.0,NetCashProvidedByUsedInOperatingActivities,20251031.0,3852529000.0,20241031.0,533552000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251031.0,730463000.0,20241031.0,496709000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251031.0,498697000.0,20241031.0,47992712000.0,Assets,20251031.0,33815755000.0,StockholdersEquity,20251031.0,2499406000.0,CashAndCashEquivalentsAtCarryingValue,20251031.0,8145066000.0,LongTermDebtCurrent+LongTermDebtNoncurrent,20251031+20251031,4278650000.0,0.1689321605654812,0.3865220058057583,-0.0039863885285053,0.2661137905027783,0.2057533834611029,0.3882725738533701,0.0670498706889732,0.2408660105326644,100.0,100.0,OK,PRESENT
AXP,AXP,AMERICAN EXPRESS CO,-,0.265246,4962.0,6199.0,10-K,20251231.0,20260206.0,0000004962-26-000080,20260331.0,20260423.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,10833000000.0,NetIncomeLoss,20251231.0,10129000000.0,20241231.0,,,,,,18428000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,14050000000.0,20241231.0,2425000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,1911000000.0,20241231.0,696000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,713000000.0,20241231.0,300052000000.0,Assets,20251231.0,33474000000.0,StockholdersEquity,20251231.0,47792000000.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20251231.0,56387000000.0,LongTermDebt,20251231,16003000000.0,,0.0695034060618027,-0.0238429172510519,,,,0.3236243054310808,1.6845014040748043,83.3,87.5,MISSING_REVENUE,PARTIAL
NEE,NEE,NEXTERA ENERGY INC,-,0.259186,753308.0,4911.0,10-K,20251231.0,20260213.0,0000753308-26-000015,20260331.0,20260423.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,6835000000.0,NetIncomeLoss,20251231.0,6946000000.0,20241231.0,8280000000.0,OperatingIncomeLoss,20251231.0,7479000000.0,20241231.0,12485000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,13260000000.0,20241231.0,,,,,,,,,,,212721000000.0,Assets,20251231.0,54608000000.0,StockholdersEquity,20251231.0,2812000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,93056000000.0,LongTermDebtCurrent+LongTermDebtNoncurrent,20251231+20251231,,,-0.0159804203858335,,,,,0.1251648110167008,1.70407266334603,66.7,62.5,MISSING_REVENUE;MISSING_DILUTED_SHARES,PARTIAL
BLK,BLK,BLACKROCK INC,-,0.251816,2012383.0,6211.0,10-K,20251231.0,20260225.0,0001193125-26-071966,20260331.0,20260506.0,2025Q3;2025Q4;2026Q1;2026Q2,24216000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,20407000000.0,20241231.0,5553000000.0,NetIncomeLoss,20251231.0,6369000000.0,20241231.0,7045000000.0,OperatingIncomeLoss,20251231.0,7574000000.0,20241231.0,3927000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,4956000000.0,20241231.0,375000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,255000000.0,20241231.0,160866521.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,151615085.0,20241231.0,169998000000.0,Assets,20251231.0,55888000000.0,StockholdersEquity,20251231.0,11468000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,12768000000.0,LongTermDebt,20251231,3552000000.0,0.1866516391434312,-0.1281205840791333,0.0610192316945243,0.2909233564585398,0.2293111992071357,0.1466798810703667,0.0993594331520183,0.2284569138276553,100.0,100.0,OK,PRESENT
WELL,WELL,WELLTOWER INC,-,0.251702,766704.0,6798.0,10-K,20251231.0,20260212.0,0000766704-26-000010,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,8452996000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,6027149000.0,20241231.0,961837000.0,ProfitLoss,20251231.0,972857000.0,20241231.0,,,,,,2881677000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,2256421000.0,20241231.0,,,,,,679521000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,608750000.0,20241231.0,67303047000.0,Assets,20251231.0,42129498000.0,StockholdersEquity,20251231.0,5033678000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,,,,,0.4024866483307447,-0.0113274612815655,0.1162562628336756,,0.1137865201876352,,0.0228304880347731,,100.0,75.0,OK,PRESENT
DE,DE,DEERE + CO,-,0.248301,315189.0,3523.0,10-K,20251031.0,20251218.0,0001104659-25-122321,20260430.0,20260528.0,2025Q3;2025Q4;2026Q1;2026Q2,45684000000.0,Revenues,20251031.0,51716000000.0,20241031.0,5027000000.0,NetIncomeLoss,20251031.0,7100000000.0,20241031.0,,,,,,7459000000.0,NetCashProvidedByUsedInOperatingActivities,20251031.0,9231000000.0,20241031.0,1360000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251031.0,1640000000.0,20241031.0,271700000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251031.0,277100000.0,20241031.0,105996000000.0,Assets,20251031.0,25950000000.0,StockholdersEquity,20251031.0,8276000000.0,CashAndCashEquivalentsAtCarryingValue,20251031.0,,,,6099000000.0,-0.116637017557429,-0.2919718309859155,-0.0194875496210754,,0.1100385255231591,0.1335040714473338,0.1937186897880539,,100.0,87.5,OK,PRESENT
BA,BA,BOEING CO/THE,-,0.247248,12927.0,3721.0,10-K,20251231.0,20260130.0,0001628280-26-004357,20260331.0,20260422.0,2025Q3;2025Q4;2026Q1;2026Q2,89463000000.0,Revenues,20251231.0,66517000000.0,20241231.0,2235000000.0,NetIncomeLoss,20251231.0,-11817000000.0,20241231.0,4281000000.0,OperatingIncomeLoss,20251231.0,-10707000000.0,20241231.0,1065000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,-12080000000.0,20241231.0,2942000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,2230000000.0,20241231.0,,,,,,168235000000.0,Assets,20251231.0,5454000000.0,StockholdersEquity,20251231.0,10921000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,45637000000.0,LongTermDebtAndCapitalLeaseObligations,20251231,-1877000000.0,0.3449644451794278,-1.189134298045189,,0.0478521847020556,0.0249823949565742,-0.0209807406413824,0.4097909790979098,8.367620095342868,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL
