ticker,ticker_sec,name,sector,weight,cik,sic,annual_form,annual_period,annual_filed,annual_adsh,latest_10q_period,latest_10q_filed,sec_quarters_used,annual_revenue,annual_revenue_tag,annual_revenue_date,prior_revenue,prior_revenue_date,annual_net_income,annual_net_income_tag,annual_net_income_date,prior_net_income,prior_net_income_date,annual_operating_income,annual_operating_income_tag,annual_operating_income_date,prior_operating_income,prior_operating_income_date,annual_operating_cash_flow,annual_operating_cash_flow_tag,annual_operating_cash_flow_date,prior_operating_cash_flow,prior_operating_cash_flow_date,annual_capex,annual_capex_tag,annual_capex_date,prior_capex,prior_capex_date,annual_diluted_shares,annual_diluted_shares_tag,annual_diluted_shares_date,prior_diluted_shares,prior_diluted_shares_date,annual_assets,annual_assets_tag,annual_assets_date,annual_equity,annual_equity_tag,annual_equity_date,annual_cash,annual_cash_tag,annual_cash_date,annual_debt,annual_debt_tag,annual_debt_date,annual_fcf,revenue_yoy,net_income_yoy,diluted_shares_yoy,operating_margin,net_margin,fcf_margin,roe_simple,debt_to_equity,core_metric_coverage_pct,extended_metric_coverage_pct,data_quality_flags,data_status,fy_minus_1_period,fy_minus_1_filed,fy_minus_1_adsh,fy_minus_1_revenue,fy_minus_1_revenue_tag,fy_minus_1_revenue_date,fy_minus_1_operating_income,fy_minus_1_operating_income_tag,fy_minus_1_operating_income_date,fy_minus_1_net_income,fy_minus_1_net_income_tag,fy_minus_1_net_income_date,fy_minus_1_operating_cash_flow,fy_minus_1_operating_cash_flow_tag,fy_minus_1_operating_cash_flow_date,fy_minus_1_capex,fy_minus_1_capex_tag,fy_minus_1_capex_date,fy_minus_1_diluted_shares,fy_minus_1_diluted_shares_tag,fy_minus_1_diluted_shares_date,fy_minus_1_equity,fy_minus_1_equity_tag,fy_minus_1_equity_date,fy_minus_2_period,fy_minus_2_filed,fy_minus_2_adsh,fy_minus_2_revenue,fy_minus_2_revenue_tag,fy_minus_2_revenue_date,fy_minus_2_operating_income,fy_minus_2_operating_income_tag,fy_minus_2_operating_income_date,fy_minus_2_net_income,fy_minus_2_net_income_tag,fy_minus_2_net_income_date,fy_minus_2_operating_cash_flow,fy_minus_2_operating_cash_flow_tag,fy_minus_2_operating_cash_flow_date,fy_minus_2_capex,fy_minus_2_capex_tag,fy_minus_2_capex_date,fy_minus_2_diluted_shares,fy_minus_2_diluted_shares_tag,fy_minus_2_diluted_shares_date,fy_minus_2_equity,fy_minus_2_equity_tag,fy_minus_2_equity_date,fy_minus_3_period,fy_minus_3_filed,fy_minus_3_adsh,fy_minus_3_revenue,fy_minus_3_revenue_tag,fy_minus_3_revenue_date,fy_minus_3_operating_income,fy_minus_3_operating_income_tag,fy_minus_3_operating_income_date,fy_minus_3_net_income,fy_minus_3_net_income_tag,fy_minus_3_net_income_date,fy_minus_3_operating_cash_flow,fy_minus_3_operating_cash_flow_tag,fy_minus_3_operating_cash_flow_date,fy_minus_3_capex,fy_minus_3_capex_tag,fy_minus_3_capex_date,fy_minus_3_diluted_shares,fy_minus_3_diluted_shares_tag,fy_minus_3_diluted_shares_date,fy_minus_3_equity,fy_minus_3_equity_tag,fy_minus_3_equity_date,annual_sbc,annual_sbc_tag,annual_sbc_date,prior_sbc,prior_sbc_tag,prior_sbc_date,sbc_to_revenue,revenue_cagr3,opinc_cagr3,fcf_cagr3,fcf_per_share_cagr3,annual_operating_margin_history,fy_minus_1_operating_margin_history,fy_minus_2_operating_margin_history,fy_minus_3_operating_margin_history,operating_margin_std_4y,operating_margin_range_4y
AKAM,AKAM,AKAMAI TECHNOLOGIES INC,-,0.023866,1086222.0,7389.0,10-K,20251231.0,20260220.0,0001086222-26-000022,20260331.0,20260508.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,452031000.0,NetIncomeLoss,20251231.0,504918000.0,20241231.0,566944000.0,OperatingIncomeLoss,20251231.0,533411000.0,20241231.0,1518765000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1519171000.0,20241231.0,507786000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,390433000.0,20241231.0,147023000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,154346000.0,20241231.0,11479643000.0,Assets,20251231.0,4977371000.0,StockholdersEquity,20251231.0,930231000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,,,,1010979000.0,,-0.1047437405677753,-0.0474453500576627,,,,0.0908172205768868,,83.3,75.0,MISSING_REVENUE,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBY,BBY,BEST BUY CO INC,-,0.02382,764478.0,5731.0,10-K,20260131.0,20260318.0,0000764478-26-000009,20260430.0,20260605.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,1069000000.0,NetIncomeLoss,20260131.0,927000000.0,20250131.0,1389000000.0,OperatingIncomeLoss,20260131.0,1262000000.0,20250131.0,1962000000.0,NetCashProvidedByUsedInOperatingActivities,20260131.0,2098000000.0,20250131.0,704000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20260131.0,706000000.0,20250131.0,212100000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20260131.0,216600000.0,20250131.0,14670000000.0,Assets,20260131.0,2964000000.0,StockholdersEquity,20260131.0,1738000000.0,CashAndCashEquivalentsAtCarryingValue,20260131.0,1165000000.0,LongTermDebtAndCapitalLeaseObligations,20260131,1258000000.0,,0.1531823085221144,-0.020775623268698,,,,0.3606612685560054,0.3930499325236167,83.3,87.5,MISSING_REVENUE,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYL,TYL,TYLER TECHNOLOGIES INC,-,0.023707,860731.0,7372.0,10-K,20251231.0,20260218.0,0000860731-26-000016,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,2332340000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,2137803000.0,20241231.0,315603000.0,NetIncomeLoss,20251231.0,263026000.0,20241231.0,357676000.0,OperatingIncomeLoss,20251231.0,299526000.0,20241231.0,653543000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,624633000.0,20241231.0,16015000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,20535000.0,20241231.0,,,,,,5638908000.0,Assets,20251231.0,3702789000.0,StockholdersEquity,20251231.0,1015400000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,,,,637528000.0,0.090998562542947,0.1998927862644757,,0.1533549996998722,0.1353160345404186,0.2733426515859609,0.0852338602064552,,83.3,75.0,MISSING_DILUTED_SHARES,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1533549996998722,,,,,
TSN,TSN,TYSON FOODS INC CL A,-,0.023296,100493.0,2015.0,10-K,20250930.0,20251110.0,0000100493-25-000095,20260331.0,20260504.0,2025Q3;2025Q4;2026Q1;2026Q2,54441000000.0,Revenues,20250930.0,53309000000.0,20240930.0,474000000.0,NetIncomeLoss,20250930.0,800000000.0,20240930.0,1098000000.0,OperatingIncomeLoss,20250930.0,1409000000.0,20240930.0,2155000000.0,NetCashProvidedByUsedInOperatingActivities,20250930.0,2590000000.0,20240930.0,978000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250930.0,1132000000.0,20240930.0,357000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250930.0,356000000.0,20240930.0,36658000000.0,Assets,20250930.0,18085000000.0,StockholdersEquity,20250930.0,1229000000.0,CashAndCashEquivalentsAtCarryingValue,20250930.0,7921000000.0,LongTermDebtAndCapitalLeaseObligations,20250930,1177000000.0,0.021234688326549,-0.4075,0.002808988764045,0.0201686229128781,0.0087066732793299,0.0216197351260998,0.0262095659386231,0.437987282278131,100.0,100.0,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0201686229128781,,,,,
APA,APA,APA CORP,-,0.023054,1841666.0,1311.0,10-K,20251231.0,20260226.0,0001841666-26-000015,20260331.0,20260507.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,1434000000.0,NetIncomeLoss,20251231.0,804000000.0,20241231.0,,,,,,4545000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,3620000000.0,20241231.0,,,,,,359000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,353000000.0,20241231.0,17761000000.0,Assets,20251231.0,6093000000.0,StockholdersEquity,20251231.0,516000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,4280000000.0,LongTermDebtAndCapitalLeaseObligations,20251231,,,0.7835820895522387,0.0169971671388102,,,,0.2353520433284096,0.7024454291810274,83.3,75.0,MISSING_REVENUE,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAA,MAA,MID AMERICA APARTMENT COMM,-,0.02266,912595.0,6798.0,10-K,20251231.0,20260206.0,0001193125-26-041208,20260331.0,20260430.0,2025Q3;2025Q4;2026Q1;2026Q2,2209126000.0,Revenues,20251231.0,2191015000.0,20241231.0,446909000.0,NetIncomeLoss,20251231.0,527543000.0,20241231.0,,,,,,1078175000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1098292000.0,20241231.0,,,,,,,,,,,11975383000.0,Assets,20251231.0,5662851000.0,StockholdersEquity,20251231.0,60258000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,,,,,0.008266031953227,-0.152848203843099,,,0.202301272086789,,0.0789194347511527,,83.3,62.5,MISSING_DILUTED_SHARES,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWK,SWK,STANLEY BLACK + DECKER INC,-,0.022643,93556.0,3420.0,10-K,20251231.0,20260224.0,0000093556-26-000009,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,15130400000.0,Revenues,20251231.0,15365700000.0,20241231.0,401900000.0,NetIncomeLoss,20251231.0,294300000.0,20241231.0,,,,,,971200000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1106900000.0,20241231.0,283300000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,353900000.0,20241231.0,,,,,,21243700000.0,Assets,20251231.0,9054600000.0,StockholdersEquity,20251231.0,280100000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,5258100000.0,LongTermDebtCurrent+LongTermDebtNoncurrent,20251231+20251231,687900000.0,-0.0153133277364519,0.3656133197417601,,,0.0265624173848675,0.0454647596891027,0.0443862787975172,0.5807103571665231,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG,EG,EVEREST GROUP LTD,-,0.022411,1095073.0,6331.0,10-K,20251231.0,20260226.0,0001095073-26-000006,20260331.0,20260505.0,2025Q3;2025Q4;2026Q1;2026Q2,17496000000.0,Revenues,20251231.0,17281000000.0,20241231.0,1591000000.0,NetIncomeLoss,20251231.0,1373000000.0,20241231.0,,,,,,3068000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,4957000000.0,20241231.0,,,,,,,,,,,62514000000.0,Assets,20251231.0,15461000000.0,StockholdersEquity,20251231.0,1318000000.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20251231.0,,,,,0.0124414096406457,0.1587764020393298,,,0.0909350708733424,,0.1029040812366599,,83.3,62.5,MISSING_DILUTED_SHARES,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAS,MAS,MASCO CORP,-,0.022075,62996.0,3430.0,10-K,20251231.0,20260210.0,0000062996-26-000005,20260331.0,20260422.0,2025Q3;2025Q4;2026Q1;2026Q2,7562000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,7828000000.0,20241231.0,810000000.0,NetIncomeLoss,20251231.0,822000000.0,20241231.0,1248000000.0,OperatingIncomeLoss,20251231.0,1363000000.0,20241231.0,1022000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1075000000.0,20241231.0,156000000.0,PaymentsToAcquireProductiveAssets,20251231.0,168000000.0,20241231.0,,,,,,5201000000.0,Assets,20251231.0,-185000000.0,StockholdersEquity,20251231.0,647000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,2945000000.0,LongTermDebtNoncurrent,20251231,866000000.0,-0.0339805825242718,-0.0145985401459853,,0.1650357048399894,0.1071145199682623,0.1145199682623644,-4.378378378378378,-15.91891891891892,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1650357048399894,,,,,
IVZ,IVZ,INVESCO LTD,-,0.022011,914208.0,6282.0,10-K,20251231.0,20260224.0,0000914208-26-000079,20260331.0,20260505.0,2025Q3;2025Q4;2026Q1;2026Q2,6377100000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,6067000000.0,20241231.0,-174800000.0,ProfitLoss,20251231.0,752400000.0,20241231.0,-695700000.0,OperatingIncomeLoss,20251231.0,832100000.0,20241231.0,1525300000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1190000000.0,20241231.0,84300000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,69100000.0,20241231.0,,,,,,27094000000.0,Assets,20251231.0,12231000000.0,StockholdersEquity,20251231.0,1037500000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,1825100000.0,LongTermDebt,20251231,1441000000.0,0.0511125762320752,-1.2323232323232325,,-0.1090934750905584,-0.0274105784761098,0.2259647802292578,-0.0142915542474041,0.1492191971220668,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1090934750905584,,,,,
