ticker,ticker_sec,name,sector,weight,cik,sic,annual_form,annual_period,annual_filed,annual_adsh,latest_10q_period,latest_10q_filed,sec_quarters_used,annual_revenue,annual_revenue_tag,annual_revenue_date,prior_revenue,prior_revenue_date,annual_net_income,annual_net_income_tag,annual_net_income_date,prior_net_income,prior_net_income_date,annual_operating_income,annual_operating_income_tag,annual_operating_income_date,prior_operating_income,prior_operating_income_date,annual_operating_cash_flow,annual_operating_cash_flow_tag,annual_operating_cash_flow_date,prior_operating_cash_flow,prior_operating_cash_flow_date,annual_capex,annual_capex_tag,annual_capex_date,prior_capex,prior_capex_date,annual_diluted_shares,annual_diluted_shares_tag,annual_diluted_shares_date,prior_diluted_shares,prior_diluted_shares_date,annual_assets,annual_assets_tag,annual_assets_date,annual_equity,annual_equity_tag,annual_equity_date,annual_cash,annual_cash_tag,annual_cash_date,annual_debt,annual_debt_tag,annual_debt_date,annual_fcf,revenue_yoy,net_income_yoy,diluted_shares_yoy,operating_margin,net_margin,fcf_margin,roe_simple,debt_to_equity,core_metric_coverage_pct,extended_metric_coverage_pct,data_quality_flags,data_status,fy_minus_1_period,fy_minus_1_filed,fy_minus_1_adsh,fy_minus_1_revenue,fy_minus_1_revenue_tag,fy_minus_1_revenue_date,fy_minus_1_operating_income,fy_minus_1_operating_income_tag,fy_minus_1_operating_income_date,fy_minus_1_net_income,fy_minus_1_net_income_tag,fy_minus_1_net_income_date,fy_minus_1_operating_cash_flow,fy_minus_1_operating_cash_flow_tag,fy_minus_1_operating_cash_flow_date,fy_minus_1_capex,fy_minus_1_capex_tag,fy_minus_1_capex_date,fy_minus_1_diluted_shares,fy_minus_1_diluted_shares_tag,fy_minus_1_diluted_shares_date,fy_minus_1_equity,fy_minus_1_equity_tag,fy_minus_1_equity_date,fy_minus_2_period,fy_minus_2_filed,fy_minus_2_adsh,fy_minus_2_revenue,fy_minus_2_revenue_tag,fy_minus_2_revenue_date,fy_minus_2_operating_income,fy_minus_2_operating_income_tag,fy_minus_2_operating_income_date,fy_minus_2_net_income,fy_minus_2_net_income_tag,fy_minus_2_net_income_date,fy_minus_2_operating_cash_flow,fy_minus_2_operating_cash_flow_tag,fy_minus_2_operating_cash_flow_date,fy_minus_2_capex,fy_minus_2_capex_tag,fy_minus_2_capex_date,fy_minus_2_diluted_shares,fy_minus_2_diluted_shares_tag,fy_minus_2_diluted_shares_date,fy_minus_2_equity,fy_minus_2_equity_tag,fy_minus_2_equity_date,fy_minus_3_period,fy_minus_3_filed,fy_minus_3_adsh,fy_minus_3_revenue,fy_minus_3_revenue_tag,fy_minus_3_revenue_date,fy_minus_3_operating_income,fy_minus_3_operating_income_tag,fy_minus_3_operating_income_date,fy_minus_3_net_income,fy_minus_3_net_income_tag,fy_minus_3_net_income_date,fy_minus_3_operating_cash_flow,fy_minus_3_operating_cash_flow_tag,fy_minus_3_operating_cash_flow_date,fy_minus_3_capex,fy_minus_3_capex_tag,fy_minus_3_capex_date,fy_minus_3_diluted_shares,fy_minus_3_diluted_shares_tag,fy_minus_3_diluted_shares_date,fy_minus_3_equity,fy_minus_3_equity_tag,fy_minus_3_equity_date,annual_sbc,annual_sbc_tag,annual_sbc_date,prior_sbc,prior_sbc_tag,prior_sbc_date,sbc_to_revenue,revenue_cagr3,opinc_cagr3,fcf_cagr3,fcf_per_share_cagr3,annual_operating_margin_history,fy_minus_1_operating_margin_history,fy_minus_2_operating_margin_history,fy_minus_3_operating_margin_history,operating_margin_std_4y,operating_margin_range_4y
PANW,PANW,PALO ALTO NETWORKS INC,-,0.467774,1327567.0,3577.0,10-K,20250731.0,20250829.0,0001327567-25-000027,20260430.0,20260603.0,2025Q3;2025Q4;2026Q1;2026Q2,9221500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20250731.0,8027500000.0,20240731.0,1133900000.0,NetIncomeLoss,20250731.0,2577600000.0,20240731.0,1242900000.0,OperatingIncomeLoss,20250731.0,683900000.0,20240731.0,3716000000.0,NetCashProvidedByUsedInOperatingActivities,20250731.0,3257600000.0,20240731.0,246200000.0,PaymentsToAcquireProductiveAssets,20250731.0,156800000.0,20240731.0,709300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250731.0,354000000.0,20240731.0,23576200000.0,Assets,20250731.0,7824400000.0,StockholdersEquity,20250731.0,2268600000.0,CashAndCashEquivalentsAtCarryingValue,20250731.0,,,,3469800000.0,0.1487387106820306,-0.5600946617008069,0.0019776804633422,0.1347828444396248,0.1229626416526595,0.3762728406441468,0.1449184602014211,,100.0,87.5,OK,PRESENT,20240731.0,20240906.0,0001327567-24-000029,8027500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20240731.0,683900000.0,OperatingIncomeLoss,20240731.0,2577600000.0,NetIncomeLoss,20240731.0,3257600000.0,NetCashProvidedByUsedInOperatingActivities,20240731.0,156800000.0,PaymentsToAcquireProductiveAssets,20240731.0,354000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20240731.0,5169700000.0,StockholdersEquity,20240731.0,20230731.0,20230901.0,0001327567-23-000024,6892700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20230731.0,387300000.0,OperatingIncomeLoss,20230731.0,439700000.0,NetIncomeLoss,20230731.0,2777500000.0,NetCashProvidedByUsedInOperatingActivities,20230731.0,146300000.0,PaymentsToAcquireProductiveAssets,20230731.0,342300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20230731.0,1748400000.0,StockholdersEquity,20230731.0,20220731.0,20220906.0,0001327567-22-000028,5501500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20220731.0,-188800000.0,OperatingIncomeLoss,20220731.0,-267000000.0,NetIncomeLoss,20220731.0,1984700000.0,NetCashProvidedByUsedInOperatingActivities,20220731.0,192800000.0,PaymentsToAcquireProductiveAssets,20220731.0,98500000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20220731.0,210000000.0,StockholdersEquity,20220731.0,1295100000.0,ShareBasedCompensation,20250731.0,1075400000.0,ShareBasedCompensation,20240731.0,0.1404435287100797,0.187882500331709,,0.2464175567407251,-0.3545454777368162,0.1347828444396248,0.0851946434132669,0.0561898820491244,-0.0343179132963737,0.0615157998488002,0.1691007577359985
GS,GS,GOLDMAN SACHS GROUP INC,-,0.454554,886982.0,6211.0,10-K,20251231.0,20260225.0,0000886982-26-000091,20260331.0,20260501.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,17176000000.0,NetIncomeLoss,20251231.0,14276000000.0,20241231.0,,,,,,-45154000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,-13212000000.0,20241231.0,2064000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,2091000000.0,20241231.0,317600000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,333600000.0,20241231.0,1809320000000.0,Assets,20251231.0,124972000000.0,StockholdersEquity,20251231.0,164259000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,,,,-47218000000.0,,0.2031381339310731,-0.0479616306954436,,,,0.1374387862881285,,83.3,75.0,MISSING_REVENUE,PARTIAL,20241231.0,20250227.0,0000886982-25-000005,,,,,,,14276000000.0,NetIncomeLoss,20241231.0,-13212000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,2091000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20241231.0,333600000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,121996000000.0,StockholdersEquity,20241231.0,20231231.0,20240223.0,0000886982-24-000006,,,,,,,8516000000.0,NetIncomeLoss,20231231.0,-12587000000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,2316000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20231231.0,345800000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,116905000000.0,StockholdersEquity,20231231.0,20221231.0,20230224.0,0000886982-23-000003,,,,,,,11261000000.0,NetIncomeLoss,20221231.0,8708000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,3748000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20221231.0,358100000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,117189000000.0,StockholdersEquity,20221231.0,3445000000.0,ShareBasedCompensation,20251231.0,2663000000.0,ShareBasedCompensation,20241231.0,,,,,,,,,,,
PM,PM,PHILIP MORRIS INTERNATIONAL,-,0.440613,1413329.0,2111.0,10-K,20251231.0,20260206.0,0001628280-26-005939,20260331.0,20260424.0,2025Q3;2025Q4;2026Q1;2026Q2,40648000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,37878000000.0,20241231.0,11348000000.0,NetIncomeLoss,20251231.0,7057000000.0,20241231.0,14892000000.0,OperatingIncomeLoss,20251231.0,13402000000.0,20241231.0,12233000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,12217000000.0,20241231.0,1569000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,1444000000.0,20241231.0,,,,,,69185000000.0,Assets,20251231.0,-9994000000.0,StockholdersEquity,20251231.0,4872000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,45134000000.0,LongTermDebtAndCapitalLeaseObligations,20251231,10664000000.0,0.0731295210940388,0.6080487459260309,,0.366364888801417,0.279177327297776,0.2623499311159221,-1.135481288773264,-4.51610966579948,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,20241231.0,20250206.0,0001413329-25-000013,37878000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20241231.0,13402000000.0,OperatingIncomeLoss,20241231.0,7057000000.0,NetIncomeLoss,20241231.0,12217000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,1444000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20241231.0,,,,-11750000000.0,StockholdersEquity,20241231.0,20231231.0,20240208.0,0001413329-24-000013,35174000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20231231.0,11556000000.0,OperatingIncomeLoss,20231231.0,7813000000.0,NetIncomeLoss,20231231.0,9204000000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,1321000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20231231.0,,,,-11225000000.0,StockholdersEquity,20231231.0,20221231.0,20230210.0,0001413329-23-000025,31762000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20221231.0,12246000000.0,OperatingIncomeLoss,20221231.0,9048000000.0,NetIncomeLoss,20221231.0,10803000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,1077000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20221231.0,,,,-8957000000.0,StockholdersEquity,20221231.0,,,,,,,,0.0857015224550041,0.0673813022338913,0.0311660922837657,,0.366364888801417,0.3538201594593168,0.3285381247512367,0.3855550658019016,0.020696790711987,0.0570169410506649
RTX,RTX,RTX CORP,-,0.422392,101829.0,3724.0,10-K,20251231.0,20260206.0,0000101829-26-000006,20260331.0,20260421.0,2025Q3;2025Q4;2026Q1;2026Q2,88603000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,80738000000.0,20241231.0,6732000000.0,NetIncomeLoss,20251231.0,4774000000.0,20241231.0,9300000000.0,OperatingIncomeLoss,20251231.0,6538000000.0,20241231.0,10567000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,7159000000.0,20241231.0,2627000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,2625000000.0,20241231.0,1356400000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,1343600000.0,20241231.0,171079000000.0,Assets,20251231.0,65245000000.0,StockholdersEquity,20251231.0,7435000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,34288000000.0,LongTermDebtAndCapitalLeaseObligations,20251231,7940000000.0,0.0974138571676286,0.4101382488479261,0.0095266448347721,0.1049625859169554,0.0759793686444025,0.0896132185140458,0.1031803203310598,0.5255268602958081,100.0,100.0,OK,PRESENT,20241231.0,20250203.0,0000101829-25-000005,80738000000.0,Revenues,20241231.0,6538000000.0,OperatingIncomeLoss,20241231.0,4774000000.0,NetIncomeLoss,20241231.0,7159000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,2625000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20241231.0,1343600000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,60156000000.0,StockholdersEquity,20241231.0,20231231.0,20240205.0,0000101829-24-000008,68920000000.0,Revenues,20231231.0,3561000000.0,OperatingIncomeLoss,20231231.0,3195000000.0,NetIncomeLoss,20231231.0,,,,2415000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20231231.0,1435400000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,59798000000.0,StockholdersEquity,20231231.0,20221231.0,20230207.0,0000101829-23-000009,67074000000.0,Revenues,20221231.0,5414000000.0,OperatingIncomeLoss,20221231.0,5197000000.0,NetIncomeLoss,20221231.0,,,,2288000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20221231.0,1485900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,72632000000.0,StockholdersEquity,20221231.0,519000000.0,ShareBasedCompensation,20251231.0,437000000.0,ShareBasedCompensation,20241231.0,0.0058575894721397,0.0972310107198741,0.197626964905188,,,0.1049625859169554,0.0809779781515519,0.0516686012768427,0.0807168202284044,0.0188849711457407,0.0532939846401126
WFC,WFC,WELLS FARGO + CO,-,0.399015,72971.0,6021.0,10-K,20251231.0,20260224.0,0000072971-26-000133,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,21338000000.0,NetIncomeLoss,20251231.0,19722000000.0,20241231.0,,,,,,-19001000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,3035000000.0,20241231.0,,,,,,3242300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,3467600000.0,20241231.0,2148631000000.0,Assets,20251231.0,181117000000.0,StockholdersEquity,20251231.0,172593000000.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20251231.0,174712000000.0,LongTermDebt,20251231,,,0.0819389514248047,-0.0649728919137155,,,,0.1178133471733741,0.9646361191936704,83.3,75.0,MISSING_REVENUE,PARTIAL,20241231.0,20250225.0,0000072971-25-000066,,,,,,,19722000000.0,NetIncomeLoss,20241231.0,3035000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,,,,3467600000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,179120000000.0,StockholdersEquity,20241231.0,20231231.0,20240220.0,0000072971-24-000064,,,,,,,19142000000.0,NetIncomeLoss,20231231.0,40358000000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,,,,3720400000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,185735000000.0,StockholdersEquity,20231231.0,20221231.0,20230221.0,0000072971-23-000071,,,,,,,13182000000.0,NetIncomeLoss,20221231.0,27048000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,,,,3837000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,179889000000.0,StockholdersEquity,20221231.0,,,,,,,,,,,,,,,,,
MS,MS,MORGAN STANLEY,-,0.385942,895421.0,6211.0,10-K,20251231.0,20260219.0,0000895421-26-000086,20260331.0,20260505.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,16861000000.0,NetIncomeLoss,20251231.0,13390000000.0,20241231.0,,,,,,-17889000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1362000000.0,20241231.0,,,,,,1592000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,1611000000.0,20241231.0,1420270000000.0,Assets,20251231.0,111632000000.0,StockholdersEquity,20251231.0,111695000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,,,,,,0.2592233009708737,-0.0117939168218498,,,,0.1510409201662605,,83.3,62.5,MISSING_REVENUE,PARTIAL,20241231.0,20250221.0,0000895421-25-000304,,,,,,,13390000000.0,NetIncomeLoss,20241231.0,1362000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,,,,1611000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,104511000000.0,StockholdersEquity,20241231.0,20231231.0,20240222.0,0000895421-24-000300,,,,,,,9087000000.0,NetIncomeLoss,20231231.0,-33536000000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,,,,1646000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,99038000000.0,StockholdersEquity,20231231.0,20221231.0,20230224.0,0000895421-23-000284,,,,,,,11029000000.0,NetIncomeLoss,20221231.0,-6397000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,,,,1713000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,100141000000.0,StockholdersEquity,20221231.0,1926000000.0,ShareBasedCompensation,20251231.0,1622000000.0,ShareBasedCompensation,20241231.0,,,,,,,,,,,
ORCL,ORCL,ORACLE CORP,-,0.382192,1341439.0,7372.0,10-K,20260531.0,20260622.0,0001193125-26-277521,20260228.0,20260311.0,2025Q3;2025Q4;2026Q1;2026Q2,67357000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20260531.0,57399000000.0,20250531.0,17087000000.0,NetIncomeLoss,20260531.0,12443000000.0,20250531.0,20606000000.0,OperatingIncomeLoss,20260531.0,17678000000.0,20250531.0,31977000000.0,NetCashProvidedByUsedInOperatingActivities,20260531.0,20821000000.0,20250531.0,55663000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20260531.0,21215000000.0,20250531.0,2914000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20260531.0,2866000000.0,20250531.0,261759000000.0,Assets,20260531.0,42508000000.0,StockholdersEquity,20260531.0,31289000000.0,CashAndCashEquivalentsAtCarryingValue,20260531.0,,,,-23686000000.0,0.1734873429850694,0.3732218918267298,0.0167480809490578,0.3059221758688777,0.2536781626260077,-0.351648677939932,0.4019713936200245,,100.0,87.5,OK,PRESENT,20250531.0,20250618.0,0000950170-25-087926,57399000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20250531.0,17678000000.0,OperatingIncomeLoss,20250531.0,12443000000.0,NetIncomeLoss,20250531.0,20821000000.0,NetCashProvidedByUsedInOperatingActivities,20250531.0,21215000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250531.0,2866000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250531.0,20451000000.0,StockholdersEquity,20250531.0,20240531.0,20240620.0,0000950170-24-075605,52961000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20240531.0,15353000000.0,OperatingIncomeLoss,20240531.0,10467000000.0,NetIncomeLoss,20240531.0,18673000000.0,NetCashProvidedByUsedInOperatingActivities,20240531.0,6866000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20240531.0,2823000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20240531.0,8704000000.0,StockholdersEquity,20240531.0,20230531.0,20230620.0,0000950170-23-028914,49954000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20230531.0,13093000000.0,OperatingIncomeLoss,20230531.0,8503000000.0,NetIncomeLoss,20230531.0,17165000000.0,NetCashProvidedByUsedInOperatingActivities,20230531.0,8695000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20230531.0,2766000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20230531.0,1073000000.0,StockholdersEquity,20230531.0,4811000000.0,ShareBasedCompensation,20260531.0,4674000000.0,ShareBasedCompensation,20250531.0,0.0714253900856629,0.1047673281656571,0.1631922747824818,,,0.3059221758688777,0.3079844596595759,0.2898925624516153,0.262101133042399,0.0183481015192814,0.0458833266171769
GEV,GEV,GE VERNOVA INC,-,0.364701,1996810.0,3600.0,10-K,20251231.0,20260129.0,0001996810-26-000015,20260331.0,20260422.0,2025Q3;2025Q4;2026Q1;2026Q2,38068000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,34935000000.0,20241231.0,4884000000.0,NetIncomeLoss,20251231.0,1552000000.0,20241231.0,1388000000.0,OperatingIncomeLoss,20251231.0,471000000.0,20241231.0,4987000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,2583000000.0,20241231.0,1277000000.0,PaymentsToAcquireProductiveAssets,20251231.0,883000000.0,20241231.0,276000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,278000000.0,20241231.0,63016000000.0,Assets,20251231.0,11178000000.0,StockholdersEquity,20251231.0,8848000000.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20251231.0,,,,3710000000.0,0.0896808358379848,2.1469072164948453,-0.0071942446043165,0.0364610696648103,0.1282967321634969,0.0974571818850478,0.4369296833064949,,100.0,87.5,OK,PRESENT,20241231.0,20250206.0,0001996810-25-000011,34935000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20241231.0,471000000.0,OperatingIncomeLoss,20241231.0,1552000000.0,NetIncomeLoss,20241231.0,2583000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,883000000.0,PaymentsToAcquireProductiveAssets,20241231.0,278000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,9546000000.0,StockholdersEquity,20241231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0364610696648103,0.0134821811936453,,,,
TXN,TXN,TEXAS INSTRUMENTS INC,-,0.358504,97476.0,3674.0,10-K,20251231.0,20260206.0,0000097476-26-000059,20260331.0,20260424.0,2025Q3;2025Q4;2026Q1;2026Q2,17682000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,15641000000.0,20241231.0,5001000000.0,NetIncomeLoss,20251231.0,4799000000.0,20241231.0,6023000000.0,OperatingIncomeLoss,20251231.0,5465000000.0,20241231.0,7153000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,6318000000.0,20241231.0,4550000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,4820000000.0,20241231.0,913000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,919000000.0,20241231.0,34585000000.0,Assets,20251231.0,16273000000.0,StockholdersEquity,20251231.0,3225000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,14048000000.0,LongTermDebtCurrent+LongTermDebtNoncurrent,20251231+20251231,2603000000.0,0.1304903778530783,0.0420921025213585,-0.0065288356909684,0.3406288881348264,0.2828299966067187,0.1472118538626852,0.3073188717507528,0.8632704479813188,100.0,100.0,OK,PRESENT,20241231.0,20250214.0,0000097476-25-000007,15641000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20241231.0,5465000000.0,OperatingIncomeLoss,20241231.0,4799000000.0,NetIncomeLoss,20241231.0,6318000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,4820000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20241231.0,919000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,16903000000.0,StockholdersEquity,20241231.0,20231231.0,20240202.0,0000097476-24-000007,17519000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20231231.0,7331000000.0,OperatingIncomeLoss,20231231.0,6510000000.0,NetIncomeLoss,20231231.0,6420000000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,5071000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20231231.0,916000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,16897000000.0,StockholdersEquity,20231231.0,20221231.0,20230203.0,0000097476-23-000007,20028000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20221231.0,10140000000.0,OperatingIncomeLoss,20221231.0,8749000000.0,NetIncomeLoss,20221231.0,8720000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,2797000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20221231.0,926000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,14577000000.0,StockholdersEquity,20221231.0,419000000.0,ShareBasedCompensation,20251231.0,387000000.0,ShareBasedCompensation,20241231.0,0.0236964144327564,-0.0406775649113262,-0.1593956442427538,-0.2397131508052896,-0.2361216261934798,0.3406288881348264,0.349402212134774,0.4184599577601461,0.5062911923307369,0.0664624404026956,0.1656623041959105
CRWD,CRWD,CROWDSTRIKE HOLDINGS INC A,-,0.355078,1535527.0,7372.0,10-K,20260131.0,20260305.0,0001535527-26-000010,20260430.0,20260604.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,-162502000.0,NetIncomeLoss,20260131.0,-19271000.0,20250131.0,-293292000.0,OperatingIncomeLoss,20260131.0,-120430000.0,20250131.0,1612349000.0,NetCashProvidedByUsedInOperatingActivities,20260131.0,1381727000.0,20250131.0,302108000.0,PaymentsToAcquirePropertyPlantAndEquipment,20260131.0,254852000.0,20250131.0,250576000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20260131.0,244750000.0,20250131.0,11086684000.0,Assets,20260131.0,4428390000.0,StockholdersEquity,20260131.0,5230125000.0,CashAndCashEquivalentsAtCarryingValue,20260131.0,745471000.0,LongTermDebtNoncurrent,20260131,1310241000.0,,9.662161275506856,0.0238038815117467,,,,-0.0366955033319107,0.1683390577613986,83.3,87.5,MISSING_REVENUE,PARTIAL,20250131.0,20250310.0,0001535527-25-000009,,,,-120430000.0,OperatingIncomeLoss,20250131.0,-19271000.0,NetIncomeLoss,20250131.0,1381727000.0,NetCashProvidedByUsedInOperatingActivities,20250131.0,254852000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250131.0,244750000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250131.0,3279494000.0,StockholdersEquity,20250131.0,20240131.0,20240307.0,0001535527-24-000007,,,,-1995000.0,OperatingIncomeLoss,20240131.0,89327000.0,NetIncomeLoss,20240131.0,1166207000.0,NetCashProvidedByUsedInOperatingActivities,20240131.0,176529000.0,PaymentsToAcquirePropertyPlantAndEquipment,20240131.0,243635000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20240131.0,2303950000.0,StockholdersEquity,20240131.0,20230131.0,20230309.0,0001535527-23-000008,,,,-190112000.0,OperatingIncomeLoss,20230131.0,-183245000.0,NetIncomeLoss,20230131.0,941007000.0,NetCashProvidedByUsedInOperatingActivities,20230131.0,235019000.0,PaymentsToAcquirePropertyPlantAndEquipment,20230131.0,233139000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20230131.0,1463641000.0,StockholdersEquity,20230131.0,1096679000.0,ShareBasedCompensation,20260131.0,865421000.0,ShareBasedCompensation,20250131.0,,,,0.2289039929621494,0.1997104480059761,,,,,,
