ticker,ticker_sec,name,sector,weight,cik,sic,annual_form,annual_period,annual_filed,annual_adsh,latest_10q_period,latest_10q_filed,sec_quarters_used,annual_revenue,annual_revenue_tag,annual_revenue_date,prior_revenue,prior_revenue_date,annual_net_income,annual_net_income_tag,annual_net_income_date,prior_net_income,prior_net_income_date,annual_operating_income,annual_operating_income_tag,annual_operating_income_date,prior_operating_income,prior_operating_income_date,annual_operating_cash_flow,annual_operating_cash_flow_tag,annual_operating_cash_flow_date,prior_operating_cash_flow,prior_operating_cash_flow_date,annual_capex,annual_capex_tag,annual_capex_date,prior_capex,prior_capex_date,annual_diluted_shares,annual_diluted_shares_tag,annual_diluted_shares_date,prior_diluted_shares,prior_diluted_shares_date,annual_assets,annual_assets_tag,annual_assets_date,annual_equity,annual_equity_tag,annual_equity_date,annual_cash,annual_cash_tag,annual_cash_date,annual_debt,annual_debt_tag,annual_debt_date,annual_fcf,revenue_yoy,net_income_yoy,diluted_shares_yoy,operating_margin,net_margin,fcf_margin,roe_simple,debt_to_equity,core_metric_coverage_pct,extended_metric_coverage_pct,data_quality_flags,data_status,fy_minus_1_period,fy_minus_1_filed,fy_minus_1_adsh,fy_minus_1_revenue,fy_minus_1_revenue_tag,fy_minus_1_revenue_date,fy_minus_1_operating_income,fy_minus_1_operating_income_tag,fy_minus_1_operating_income_date,fy_minus_1_net_income,fy_minus_1_net_income_tag,fy_minus_1_net_income_date,fy_minus_1_operating_cash_flow,fy_minus_1_operating_cash_flow_tag,fy_minus_1_operating_cash_flow_date,fy_minus_1_capex,fy_minus_1_capex_tag,fy_minus_1_capex_date,fy_minus_1_diluted_shares,fy_minus_1_diluted_shares_tag,fy_minus_1_diluted_shares_date,fy_minus_1_equity,fy_minus_1_equity_tag,fy_minus_1_equity_date,fy_minus_2_period,fy_minus_2_filed,fy_minus_2_adsh,fy_minus_2_revenue,fy_minus_2_revenue_tag,fy_minus_2_revenue_date,fy_minus_2_operating_income,fy_minus_2_operating_income_tag,fy_minus_2_operating_income_date,fy_minus_2_net_income,fy_minus_2_net_income_tag,fy_minus_2_net_income_date,fy_minus_2_operating_cash_flow,fy_minus_2_operating_cash_flow_tag,fy_minus_2_operating_cash_flow_date,fy_minus_2_capex,fy_minus_2_capex_tag,fy_minus_2_capex_date,fy_minus_2_diluted_shares,fy_minus_2_diluted_shares_tag,fy_minus_2_diluted_shares_date,fy_minus_2_equity,fy_minus_2_equity_tag,fy_minus_2_equity_date,fy_minus_3_period,fy_minus_3_filed,fy_minus_3_adsh,fy_minus_3_revenue,fy_minus_3_revenue_tag,fy_minus_3_revenue_date,fy_minus_3_operating_income,fy_minus_3_operating_income_tag,fy_minus_3_operating_income_date,fy_minus_3_net_income,fy_minus_3_net_income_tag,fy_minus_3_net_income_date,fy_minus_3_operating_cash_flow,fy_minus_3_operating_cash_flow_tag,fy_minus_3_operating_cash_flow_date,fy_minus_3_capex,fy_minus_3_capex_tag,fy_minus_3_capex_date,fy_minus_3_diluted_shares,fy_minus_3_diluted_shares_tag,fy_minus_3_diluted_shares_date,fy_minus_3_equity,fy_minus_3_equity_tag,fy_minus_3_equity_date,annual_sbc,annual_sbc_tag,annual_sbc_date,prior_sbc,prior_sbc_tag,prior_sbc_date,sbc_to_revenue,revenue_cagr3,opinc_cagr3,fcf_cagr3,fcf_per_share_cagr3,annual_operating_margin_history,fy_minus_1_operating_margin_history,fy_minus_2_operating_margin_history,fy_minus_3_operating_margin_history,operating_margin_std_4y,operating_margin_range_4y
MTD,MTD,METTLER TOLEDO INTERNATIONAL,-,0.042689,1037646.0,3826.0,10-K,20251231.0,20260206.0,0001037646-26-000011,20260331.0,20260508.0,2025Q3;2025Q4;2026Q1;2026Q2,4026399000.0,Revenues,20251231.0,3872361000.0,20241231.0,869193000.0,NetIncomeLoss,20251231.0,863140000.0,20241231.0,,,,,,955772000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,968346000.0,20241231.0,107124000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,103898000.0,20241231.0,20671708.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,21320641.0,20241231.0,3712646000.0,Assets,20251231.0,-23636000.0,StockholdersEquity,20251231.0,66888000.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20251231.0,2088241000.0,LongTermDebtNoncurrent,20251231,848648000.0,0.0397788326036752,0.0070127673378594,-0.0304368428697805,,0.2158735386135353,0.2107709643281751,-36.77411575562701,-88.35001692333728,100.0,100.0,OK,PRESENT,20241231.0,20250207.0,0001037646-25-000012,3872361000.0,Revenues,20241231.0,,,,863140000.0,NetIncomeLoss,20241231.0,968346000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,103898000.0,PaymentsToAcquirePropertyPlantAndEquipment,20241231.0,21320641.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,-126890000.0,StockholdersEquity,20241231.0,20231231.0,20240209.0,0001037646-24-000007,3788309000.0,Revenues,20231231.0,,,,788778000.0,NetIncomeLoss,20231231.0,965874000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,105323000.0,PaymentsToAcquirePropertyPlantAndEquipment,20231231.0,21971528.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,-149938000.0,StockholdersEquity,20231231.0,20221231.0,20230210.0,0001037646-23-000005,3919709000.0,Revenues,20221231.0,,,,872502000.0,NetIncomeLoss,20221231.0,859067000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,121241000.0,PaymentsToAcquirePropertyPlantAndEquipment,20221231.0,22718290.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,24793000.0,StockholdersEquity,20221231.0,22512000.0,ShareBasedCompensation,20251231.0,19979000.0,ShareBasedCompensation,20241231.0,0.0055911001368716,0.0089918566130791,,0.0477505053674596,0.0812454794860084,,,,,,
DTE,DTE,DTE ENERGY COMPANY,-,0.042649,936340.0,4911.0,10-K,20251231.0,20260217.0,0000936340-26-000054,20260331.0,20260430.0,2025Q3;2025Q4;2026Q1;2026Q2,,,,,,1462000000.0,NetIncomeLoss,20251231.0,1404000000.0,20241231.0,2374000000.0,OperatingIncomeLoss,20251231.0,2091000000.0,20241231.0,3409000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,3643000000.0,20241231.0,,,,,,207000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,207000000.0,20241231.0,54066000000.0,Assets,20251231.0,12303000000.0,StockholdersEquity,20251231.0,208000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,23785000000.0,LongTermDebtAndCapitalLeaseObligations,20251231,,,0.0413105413105412,0.0,,,,0.1188328050069088,1.933268308542632,83.3,75.0,MISSING_REVENUE,PARTIAL,20241231.0,20250213.0,0000936340-25-000065,,,,2091000000.0,OperatingIncomeLoss,20241231.0,1404000000.0,NetIncomeLoss,20241231.0,3643000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,,,,207000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,11699000000.0,StockholdersEquity,20241231.0,20231231.0,20240208.0,0000936340-24-000076,,,,2243000000.0,OperatingIncomeLoss,20231231.0,1397000000.0,NetIncomeLoss,20231231.0,3220000000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,,,,206000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,11050000000.0,StockholdersEquity,20231231.0,20221231.0,20230223.0,0000936340-23-000073,,,,1748000000.0,OperatingIncomeLoss,20221231.0,1083000000.0,NetIncomeLoss,20221231.0,1977000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,,,,196000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,10397000000.0,StockholdersEquity,20221231.0,,,,,,,,,0.1074218686837822,,,,,,,,
VICI,VICI,VICI PROPERTIES INC,-,0.042324,1705696.0,6798.0,10-K,20251231.0,20260225.0,0001705696-26-000034,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,4006116000.0,Revenues,20251231.0,3849205000.0,20241231.0,2775493000.0,NetIncomeLoss,20251231.0,2678810000.0,20241231.0,,,,,,2509991000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,2381498000.0,20241231.0,,,,,,1062693062.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,1047675111.0,20241231.0,46724168000.0,Assets,20251231.0,27797640000.0,StockholdersEquity,20251231.0,563479000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,16773241000.0,LongTermDebt,20251231,,0.04076452150509,0.0360917720928322,0.0143345497495548,,0.6928139374895784,,0.0998463538631337,0.6034052171335408,100.0,87.5,OK,PRESENT,20241231.0,20250220.0,0001705696-25-000033,3849205000.0,Revenues,20241231.0,,,,2678810000.0,NetIncomeLoss,20241231.0,2381498000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,,,,1047675111.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,26537955000.0,StockholdersEquity,20241231.0,20231231.0,20240222.0,0001705696-24-000033,3611988000.0,Revenues,20231231.0,,,,2513540000.0,NetIncomeLoss,20231231.0,2181009000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,,,,1015776697.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,25255931000.0,StockholdersEquity,20231231.0,20221231.0,20230223.0,0001705696-23-000035,2600697000.0,Revenues,20221231.0,,,,1117635000.0,NetIncomeLoss,20221231.0,1943396000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,,,,879675845.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,21933637000.0,StockholdersEquity,20221231.0,16195000.0,ShareBasedCompensation,20251231.0,17511000.0,ShareBasedCompensation,20241231.0,0.0040425689121333,0.1549005493277442,,,,,,,,,
DG,DG,DOLLAR GENERAL CORP,-,0.042243,29534.0,5331.0,10-K,20260131.0,20260320.0,0001104659-26-032325,20260430.0,20260602.0,2025Q3;2025Q4;2026Q1;2026Q2,42724369000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20260131.0,40612308000.0,20250131.0,1512311000.0,NetIncomeLoss,20260131.0,1125253000.0,20250131.0,2203668000.0,OperatingIncomeLoss,20260131.0,1714074000.0,20250131.0,3634500000.0,NetCashProvidedByUsedInOperatingActivities,20260131.0,2996064000.0,20250131.0,1241162000.0,PaymentsToAcquireProductiveAssets,20260131.0,1309888000.0,20250131.0,220814000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20260131.0,220027000.0,20250131.0,30963730000.0,Assets,20260131.0,8511962000.0,StockholdersEquity,20260131.0,1138501000.0,CashAndCashEquivalentsAtCarryingValue,20260131.0,4565881000.0,LongTermDebtAndCapitalLeaseObligations,20260131,2393338000.0,0.0520054413061183,0.3439741995800056,0.0035768337522212,0.0515787137780782,0.0353969183254643,0.0560181005832994,0.177668908766275,0.5364075873459021,100.0,100.0,OK,PRESENT,20250131.0,20250321.0,0001558370-25-003413,40612308000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20250131.0,1714074000.0,OperatingIncomeLoss,20250131.0,1125253000.0,NetIncomeLoss,20250131.0,2996064000.0,NetCashProvidedByUsedInOperatingActivities,20250131.0,1309888000.0,PaymentsToAcquireProductiveAssets,20250131.0,220027000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250131.0,7413707000.0,StockholdersEquity,20250131.0,20240131.0,20240325.0,0001558370-24-003813,38691609000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20240131.0,2446300000.0,OperatingIncomeLoss,20240131.0,1661274000.0,NetIncomeLoss,20240131.0,2391798000.0,NetCashProvidedByUsedInOperatingActivities,20240131.0,1700222000.0,PaymentsToAcquireProductiveAssets,20240131.0,219938000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20240131.0,6749119000.0,StockholdersEquity,20240131.0,20230131.0,20230324.0,0001558370-23-004574,37844863000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20230131.0,3328302000.0,OperatingIncomeLoss,20230131.0,2415989000.0,NetIncomeLoss,20230131.0,1984555000.0,NetCashProvidedByUsedInOperatingActivities,20230131.0,1560582000.0,PaymentsToAcquireProductiveAssets,20230131.0,226297000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20230131.0,5541772000.0,StockholdersEquity,20230131.0,91453000.0,ShareBasedCompensation,20260131.0,58738000.0,ShareBasedCompensation,20250131.0,0.0021405348315384,0.0412529383421078,-0.1284188820111468,0.780554530467686,0.7951717664282458,0.0515787137780782,0.0422057766330345,0.063225594986241,0.0879459386601558,0.0171230243667903,0.0457401620271213
CASY,CASY,CASEY S GENERAL STORES INC,-,0.042079,726958.0,5500.0,10-K,20260430.0,20260622.0,0000726958-26-000046,20260131.0,20260309.0,2025Q3;2025Q4;2026Q1;2026Q2,17561101000.0,Revenues,20260430.0,15940899000.0,20250430.0,714448000.0,NetIncomeLoss,20260430.0,546520000.0,20250430.0,,,,,,1377540000.0,NetCashProvidedByUsedInOperatingActivities,20260430.0,1090854000.0,20250430.0,655920000.0,PaymentsToAcquirePropertyPlantAndEquipment,20260430.0,506224000.0,20250430.0,,,,,,8936055000.0,Assets,20260430.0,3951719000.0,StockholdersEquity,20260430.0,522991000.0,CashAndCashEquivalentsAtCarryingValue,20260430.0,2431594000.0,LongTermDebtCurrent+LongTermDebtNoncurrent,20260430+20260430,721620000.0,0.1016380569251458,0.3072678035570519,,,0.0406835539525682,0.0410919565920155,0.1807942315736518,0.6153256342366449,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,20250430.0,20250623.0,0000726958-25-000065,15940899000.0,Revenues,20250430.0,,,,546520000.0,NetIncomeLoss,20250430.0,1090854000.0,NetCashProvidedByUsedInOperatingActivities,20250430.0,506224000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250430.0,,,,3508670000.0,StockholdersEquity,20250430.0,20240430.0,20240624.0,0000726958-24-000046,14862913000.0,Revenues,20240430.0,,,,501972000.0,NetIncomeLoss,20240430.0,892953000.0,NetCashProvidedByUsedInOperatingActivities,20240430.0,522004000.0,PaymentsToAcquirePropertyPlantAndEquipment,20240430.0,,,,3015381000.0,StockholdersEquity,20240430.0,20230430.0,20230623.0,0000726958-23-000059,15094475000.0,Revenues,20230430.0,,,,446691000.0,NetIncomeLoss,20230430.0,881951000.0,NetCashProvidedByUsedInOperatingActivities,20230430.0,476568000.0,PaymentsToAcquirePropertyPlantAndEquipment,20230430.0,,,,2660666000.0,StockholdersEquity,20230430.0,63407000.0,ShareBasedCompensation,20260430.0,47732000.0,ShareBasedCompensation,20250430.0,0.0036106506078405,0.0517469051484971,,0.2119396933350763,,,,,,,
ATO,ATO,ATMOS ENERGY CORP,-,0.041693,731802.0,4924.0,10-K,20250930.0,20251114.0,0000731802-25-000056,20260331.0,20260506.0,2025Q3;2025Q4;2026Q1;2026Q2,4702755000.0,Revenues,20250930.0,4165187000.0,20240930.0,1198754000.0,NetIncomeLoss,20250930.0,1042895000.0,20240930.0,1559971000.0,OperatingIncomeLoss,20250930.0,1355362000.0,20240930.0,2049456000.0,NetCashProvidedByUsedInOperatingActivities,20250930.0,1733746000.0,20240930.0,3561399000.0,PaymentsToAcquireProductiveAssets,20250930.0,2937124000.0,20240930.0,160573000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250930.0,152666000.0,20240930.0,28249522000.0,Assets,20250930.0,13558890000.0,StockholdersEquity,20250930.0,202687000.0,CashAndCashEquivalentsAtCarryingValue,20250930.0,8907169000.0,LongTermDebtAndCapitalLeaseObligations,20250930,-1511943000.0,0.1290621525516142,0.1494484104344158,0.0517928025886575,0.3317142823727793,0.254904625054888,-0.3215015453707454,0.0884109244930816,0.6569246450115017,100.0,100.0,OK,PRESENT,20240930.0,20241118.0,0000731802-24-000030,4165187000.0,Revenues,20240930.0,1355362000.0,OperatingIncomeLoss,20240930.0,1042895000.0,NetIncomeLoss,20240930.0,1733746000.0,NetCashProvidedByUsedInOperatingActivities,20240930.0,2937124000.0,PaymentsToAcquireProductiveAssets,20240930.0,152666000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20240930.0,12157669000.0,StockholdersEquity,20240930.0,20230930.0,20231114.0,0000731802-23-000028,4275357000.0,Revenues,20230930.0,1067147000.0,OperatingIncomeLoss,20230930.0,885862000.0,NetIncomeLoss,20230930.0,3459743000.0,NetCashProvidedByUsedInOperatingActivities,20230930.0,2805973000.0,PaymentsToAcquireProductiveAssets,20230930.0,145166000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20230930.0,10870064000.0,StockholdersEquity,20230930.0,20220930.0,20221114.0,0000731802-22-000037,4201662000.0,Revenues,20220930.0,920982000.0,OperatingIncomeLoss,20220930.0,774398000.0,NetIncomeLoss,20220930.0,977584000.0,NetCashProvidedByUsedInOperatingActivities,20220930.0,2444420000.0,PaymentsToAcquireProductiveAssets,20220930.0,138096000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20220930.0,9419091000.0,StockholdersEquity,20220930.0,12731000.0,ShareBasedCompensation,20250930.0,10709000.0,ShareBasedCompensation,20240930.0,0.0027071365614411,0.0382702582932408,0.1920335005608688,,,0.3317142823727793,0.3254024369133967,0.2496041851007997,0.2191946901012028,0.0483430217036145,0.1125195922715765
HPQ,HPQ,HP INC,-,0.041524,47217.0,3570.0,10-K,20251031.0,20251210.0,0000047217-25-000071,20260430.0,20260528.0,2025Q3;2025Q4;2026Q1;2026Q2,55295000000.0,Revenues,20251031.0,53559000000.0,20241031.0,2529000000.0,NetIncomeLoss,20251031.0,2775000000.0,20241031.0,3174000000.0,OperatingIncomeLoss,20251031.0,3818000000.0,20241031.0,3697000000.0,NetCashProvidedByUsedInOperatingActivities,20251031.0,3749000000.0,20241031.0,897000000.0,PaymentsToAcquireProductiveAssets,20251031.0,592000000.0,20241031.0,953000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251031.0,989000000.0,20241031.0,41769000000.0,Assets,20251031.0,-346000000.0,StockholdersEquity,20251031.0,3705000000.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20251031.0,8821000000.0,LongTermDebtNoncurrent,20251031,2800000000.0,0.0324128531152561,-0.0886486486486486,-0.0364004044489383,0.0574012116827922,0.0457365042047201,0.0506374898272899,-7.309248554913295,-25.49421965317919,100.0,100.0,OK,PRESENT,20241031.0,20241213.0,0000047217-24-000080,53559000000.0,Revenues,20241031.0,3818000000.0,OperatingIncomeLoss,20241031.0,2775000000.0,NetIncomeLoss,20241031.0,3749000000.0,NetCashProvidedByUsedInOperatingActivities,20241031.0,592000000.0,PaymentsToAcquireProductiveAssets,20241031.0,989000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241031.0,-1323000000.0,StockholdersEquity,20241031.0,20231031.0,20231218.0,0000047217-23-000100,53718000000.0,Revenues,20231031.0,3456000000.0,OperatingIncomeLoss,20231031.0,3263000000.0,NetIncomeLoss,20231031.0,3571000000.0,NetCashProvidedByUsedInOperatingActivities,20231031.0,609000000.0,PaymentsToAcquireProductiveAssets,20231031.0,1000000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231031.0,-1069000000.0,StockholdersEquity,20231031.0,20221031.0,20221206.0,0000047217-22-000068,62983000000.0,Revenues,20221031.0,4676000000.0,OperatingIncomeLoss,20221031.0,3203000000.0,NetIncomeLoss,20221031.0,4463000000.0,NetCashProvidedByUsedInOperatingActivities,20221031.0,791000000.0,PaymentsToAcquireProductiveAssets,20221031.0,1050000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221031.0,-2918000000.0,StockholdersEquity,20221031.0,522000000.0,ShareBasedCompensation,20251031.0,452000000.0,ShareBasedCompensation,20241031.0,0.0094402748892304,-0.0424660676409953,-0.1211579941402383,-0.0864090553560856,-0.0564087193690731,0.0574012116827922,0.0712858716555574,0.0643359767675639,0.0742422558468158,0.006517625763609,0.0168410441640235
IR,IR,INGERSOLL RAND INC,-,0.041431,1699150.0,3560.0,10-K,20251231.0,20260217.0,0001628280-26-008617,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,7650900000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,7235000000.0,20241231.0,581400000.0,NetIncomeLoss,20251231.0,838600000.0,20241231.0,1144600000.0,OperatingIncomeLoss,20251231.0,1300100000.0,20241231.0,1355700000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1396700000.0,20241231.0,135600000.0,PaymentsToAcquireProductiveAssets,20251231.0,149100000.0,20241231.0,,,,,,18297200000.0,Assets,20251231.0,10089800000.0,StockholdersEquity,20251231.0,1248800000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,4783300000.0,LongTermDebtAndCapitalLeaseObligations,20251231,1220100000.0,0.0574844505874223,-0.3067016455998091,,0.1496033146427217,0.0759910598753087,0.1594714347331686,0.0576225495054411,0.4740728260223196,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,20241231.0,20250219.0,0001628280-25-006391,7235000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20241231.0,1300100000.0,OperatingIncomeLoss,20241231.0,838600000.0,NetIncomeLoss,20241231.0,,,,149100000.0,PaymentsToAcquireProductiveAssets,20241231.0,,,,10179000000.0,StockholdersEquity,20241231.0,20231231.0,20240223.0,0001628280-24-006642,6876100000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20231231.0,1164300000.0,OperatingIncomeLoss,20231231.0,778700000.0,NetIncomeLoss,20231231.0,,,,105400000.0,PaymentsToAcquireProductiveAssets,20231231.0,,,,9783800000.0,StockholdersEquity,20231231.0,20221231.0,20230221.0,0001628280-23-004287,5916300000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20221231.0,817300000.0,OperatingIncomeLoss,20221231.0,604700000.0,NetIncomeLoss,20221231.0,,,,94600000.0,PaymentsToAcquireProductiveAssets,20221231.0,,,,9195800000.0,StockholdersEquity,20221231.0,53000000.0,ShareBasedCompensation,20251231.0,58800000.0,ShareBasedCompensation,20241231.0,0.0069272895999163,0.0894838058896054,0.1188127687194384,,,0.1496033146427217,0.1796959225984796,0.1693256351710999,0.1381437722901137,0.0162640107308252,0.0415521503083658
OTIS,OTIS,OTIS WORLDWIDE CORP,-,0.041251,1781335.0,3600.0,10-K,20251231.0,20260205.0,0001781335-26-000011,20260331.0,20260423.0,2025Q3;2025Q4;2026Q1;2026Q2,14431000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,14261000000.0,20241231.0,1384000000.0,NetIncomeLoss,20251231.0,1645000000.0,20241231.0,2133000000.0,OperatingIncomeLoss,20251231.0,2008000000.0,20241231.0,1596000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1563000000.0,20241231.0,152000000.0,PaymentsToAcquireProductiveAssets,20251231.0,126000000.0,20241231.0,394900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,404400000.0,20241231.0,10653000000.0,Assets,20251231.0,-5392000000.0,StockholdersEquity,20251231.0,1096000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,6900000000.0,LongTermDebtNoncurrent,20251231,1444000000.0,0.0119206226772317,-0.1586626139817629,-0.0234915924826903,0.1478068047952324,0.0959046497124246,0.1000623657404199,-0.2566765578635014,-1.279673590504451,100.0,100.0,OK,PRESENT,20241231.0,20250204.0,0001781335-25-000010,14261000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20241231.0,2008000000.0,OperatingIncomeLoss,20241231.0,1645000000.0,NetIncomeLoss,20241231.0,1563000000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,126000000.0,PaymentsToAcquireProductiveAssets,20241231.0,404400000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20241231.0,-4848000000.0,StockholdersEquity,20241231.0,20231231.0,20240202.0,0001781335-24-000013,14209000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20231231.0,2186000000.0,OperatingIncomeLoss,20231231.0,1406000000.0,NetIncomeLoss,20231231.0,1627000000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,138000000.0,PaymentsToAcquireProductiveAssets,20231231.0,414600000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20231231.0,-4924000000.0,StockholdersEquity,20231231.0,20221231.0,20230203.0,0001781335-23-000009,13685000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20221231.0,2033000000.0,OperatingIncomeLoss,20221231.0,1253000000.0,NetIncomeLoss,20221231.0,1560000000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,115000000.0,PaymentsToAcquireProductiveAssets,20221231.0,423000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20221231.0,-4870000000.0,StockholdersEquity,20221231.0,80000000.0,ShareBasedCompensation,20251231.0,73000000.0,ShareBasedCompensation,20241231.0,0.0055436213706603,0.0178502203199479,0.0161344112541934,-0.0002307337414619,0.0229416459086266,0.1478068047952324,0.1408035902110651,0.1538461538461538,0.1485568140299598,0.0046386914020505,0.0130425636350887
LH,LH,LABCORP HOLDINGS INC,-,0.041245,920148.0,8071.0,10-K,20251231.0,20260224.0,0000920148-26-000111,20260331.0,20260504.0,2025Q3;2025Q4;2026Q1;2026Q2,13951700000.0,Revenues,20251231.0,13008900000.0,20241231.0,876500000.0,NetIncomeLoss,20251231.0,746000000.0,20241231.0,1384700000.0,OperatingIncomeLoss,20251231.0,1086700000.0,20241231.0,1640500000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,1585800000.0,20241231.0,434500000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,489900000.0,20241231.0,,,,,,18392700000.0,Assets,20251231.0,8619800000.0,StockholdersEquity,20251231.0,532300000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,5584700000.0,LongTermDebtCurrent+LongTermDebtNoncurrent,20251231+20251231,1206000000.0,0.072473460477058,0.1749329758713136,,0.0992495538178143,0.0628238852612943,0.0864410788649411,0.1016844938397642,0.647892062460846,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,20241231.0,20250225.0,0000920148-25-000032,13008900000.0,Revenues,20241231.0,1086700000.0,OperatingIncomeLoss,20241231.0,746000000.0,NetIncomeLoss,20241231.0,1585800000.0,NetCashProvidedByUsedInOperatingActivities,20241231.0,489900000.0,PaymentsToAcquirePropertyPlantAndEquipment,20241231.0,,,,8052200000.0,StockholdersEquity,20241231.0,20231231.0,20240226.0,0000920148-24-000014,12161600000.0,Revenues,20231231.0,725600000.0,OperatingIncomeLoss,20231231.0,418000000.0,NetIncomeLoss,20231231.0,1327700000.0,NetCashProvidedByUsedInOperatingActivities,20231231.0,453600000.0,PaymentsToAcquirePropertyPlantAndEquipment,20231231.0,,,,7875000000.0,StockholdersEquity,20231231.0,20221231.0,20230228.0,0000920148-23-000017,14876800000.0,Revenues,20221231.0,1773900000.0,OperatingIncomeLoss,20221231.0,1279100000.0,NetIncomeLoss,20221231.0,1955900000.0,NetCashProvidedByUsedInOperatingActivities,20221231.0,481900000.0,PaymentsToAcquirePropertyPlantAndEquipment,20221231.0,,,,10096600000.0,StockholdersEquity,20221231.0,125800000.0,ShareBasedCompensation,20251231.0,116700000.0,ShareBasedCompensation,20241231.0,0.0090168223227276,-0.0211731627734262,-0.0792490276455428,-0.0647021383543839,,0.0992495538178143,0.0835351182651876,0.0596632022102354,0.1192393525489352,0.0218053794720907,0.0595761503386997
