ticker,name,sector,cik,annual_period,annual_filed,core_metric_coverage_pct,extended_metric_coverage_pct,data_status,data_quality_flags,history_revenue_4y,history_opinc_4y,history_fcf_4y,history_diluted_shares_4y,sbc_current_present,revenue_cagr3_present,opinc_cagr3_present,fcf_cagr3_present,fcf_per_share_cagr3_present,market_price_present,market_cap_present,market_data_present
FOX,FOX CORP CLASS B,-,1754301.0,20250630.0,20250806.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,False,True,False,True,True,False,True,False,True,True,True
ARE,ALEXANDRIA REAL ESTATE EQUIT,-,1035443.0,20251231.0,20260126.0,66.7,50.0,PARTIAL,MISSING_REVENUE;MISSING_DILUTED_SHARES,False,False,False,False,True,False,False,False,False,True,True,True
MGM,MGM RESORTS INTERNATIONAL,-,789570.0,20251231.0,20260211.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
MOS,MOSAIC CO/THE,-,1285785.0,20251231.0,20260227.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,False,False,True,True,True
WYNN,WYNN RESORTS LTD,-,1174922.0,20251231.0,20260302.0,83.3,87.5,PARTIAL,MISSING_REVENUE,False,True,True,True,True,False,False,False,False,True,True,True
NCLH,NORWEGIAN CRUISE LINE HOLDIN,-,1513761.0,20251231.0,20260302.0,83.3,87.5,PARTIAL,MISSING_REVENUE,False,True,True,True,True,False,False,False,False,True,True,True
BLDR,BUILDERS FIRSTSOURCE INC,-,1316835.0,20251231.0,20260217.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
AOS,SMITH (A.O.) CORP,-,91142.0,20251231.0,20260210.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,False,True,False,True,True,False,True,False,True,True,True
ERIE,ERIE INDEMNITY COMPANY CL A,-,922621.0,20251231.0,20260223.0,83.3,75.0,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,False,False,True,True,True,False,True,True,True
TAP,MOLSON COORS BEVERAGE CO B,-,24545.0,20251231.0,20260218.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,False,True,True,True,True,True
HRL,HORMEL FOODS CORP,-,48465.0,20251031.0,20251205.0,83.3,87.5,PARTIAL,MISSING_REVENUE,False,True,True,True,True,False,True,True,True,True,True,True
TTD,TRADE DESK INC/THE CLASS A,-,1671933.0,20251231.0,20260227.0,100.0,87.5,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
DVA,DAVITA INC,-,927066.0,20251231.0,20260211.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
BF.B,BROWN FORMAN CORP CLASS B,-,14693.0,20260430.0,20260612.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,False,True,True,True,True,False,False,False,False
NWS,NEWS CORP CLASS B,-,1564708.0,20250630.0,20250806.0,66.7,75.0,PARTIAL,MISSING_OPERATING_CASH_FLOW;MISSING_DILUTED_SHARES,True,False,True,False,False,True,False,False,False,True,True,True
PSKY,PARAMOUNT SKYDANCE CL B,-,2041610.0,20251231.0,20260225.0,100.0,100.0,PRESENT,OK,False,False,False,False,True,False,False,False,False,True,True,True
2602335D,CONTRA HOLOGIC INCORPO,-,,,,0.0,0.0,PARTIAL,MISSING_CIK;MISSING_ANNUAL_FILING_IN_BULK_WINDOW;MISSING_REVENUE;MISSING_NET_INCOME;MISSING_ASSETS;MISSING_EQUITY;MISSING_OPERATING_CASH_FLOW;MISSING_DILUTED_SHARES,False,False,False,False,False,False,False,False,False,False,False,False
